,"$H[h(X, X)]$","$H[h(Y, Y)]$","$H[h(Z, Z)]$","$H[h(Y+Z, Y+Z)]$","$H[h(X+Z, X+Z)]$","$H[h(X+Y, X+Y)]$","$I[h(Y, X)]$","$I[h(Z, X)]$","$I[h(Y+Z, X)]$","$I[h(Z, Y)]$","$I[h(X+Z, Y)]$","$I[h(X+Y, Z)]$"
0,-1124.9038881483373,-777.8388612090508,-643.5932473305862,62.89574242703045,-33.61968505094424,-149.21257457944625,-906.6050778705693,-742.0434722614386,-190.65361226268197,-688.2137212394258,-222.90001603717775,-226.452496516897
1,-1021.3208970365043,-703.5404634415673,-725.1490682545527,62.25830053408981,-55.04737689764556,-54.12860071467406,-830.6806353306487,-784.3439585444542,-181.87998189732608,-740.6575839135094,-211.2104620995292,-176.9828635732272
2,-1067.1744159123123,-728.0441544749904,-689.5083410044786,76.3249527723039,-29.512616054123217,-68.99019241912653,-863.1999962212767,-763.1533074928309,-179.38046159694656,-737.479783006685,-221.95523056686952,-205.43513709760077
3,-1096.4019733618884,-819.7684611681755,-626.4872161844659,67.70031234863715,-35.152536924765435,-152.67605700331475,-922.1118484894364,-724.6980437948926,-189.03105748396803,-676.1393054519493,-218.68184460241199,-223.84409557311372
4,-958.1272487702443,-747.7463308622775,-667.2884740574991,62.19495586443336,0.9255484196402168,-81.78811198799204,-844.3161108294091,-701.4613224523473,-160.15396630501823,-735.6093710284161,-196.58027441494917,-196.57143848405204
5,-1116.352568790166,-751.3949282555511,-638.3092794281512,74.31409990881974,-35.796103784172814,-139.01998328040173,-896.0082179592328,-739.2315354734355,-181.0380970172187,-687.2242952229498,-218.8985329200697,-224.03334256944723
6,-1020.5904500612594,-713.3312833191596,-588.414400901475,89.25058608619624,-1.2143447351071581,-105.44812962680446,-835.9470066753883,-657.7351790382327,-132.89277040492973,-658.3807022115354,-184.95977298926545,-183.31711098650126
7,-1093.7737570268623,-748.9082228961672,-694.9595492527241,60.352664106798706,-67.51191509079709,-139.23325645215078,-870.8714217658064,-778.8682133524594,-204.49568384359114,-738.6807329382686,-261.3806395176409,-255.41290031372841
8,-1036.47825825769,-720.3647481766416,-619.3561711262049,74.64048227914054,-24.970864193687586,-82.3771195682766,-841.8715435111937,-700.1346304033854,-154.07837465882798,-672.3235142662492,-197.7100619449028,-188.99777863244609
9,-1041.6987578559574,-750.7975006478919,-626.6790554735289,72.58543842416886,-22.225097375243212,-123.05258128425673,-877.9494517507904,-718.1434145304511,-174.6007713953149,-683.773659326867,-209.51379428479783,-204.54366522466023
10,-1062.7165178720415,-751.058298669342,-651.0646661522563,75.13422310553305,-26.74704443769861,-78.58554888561139,-866.7085907520592,-729.9175827656836,-174.35934378810742,-707.861201747849,-216.58762943807875,-193.4716239900083
11,-1087.3901971064934,-747.7576557645473,-688.4101266744078,70.08940719557769,-62.79110307762811,-114.639246780646,-863.4935786341543,-771.9304561620409,-185.52373951972046,-714.8482868572197,-235.38258431089577,-229.1759674206688
12,-1057.0011179310136,-697.0162133158789,-686.0936140829566,66.19701777355567,-35.43578672405498,-93.34520271620468,-830.9612332487519,-756.6445904741394,-179.46413369326663,-741.7165657581671,-218.34049210351898,-212.07284972574877
13,-970.0986605376521,-779.6596674954465,-667.5614136173403,59.73358314789051,-16.834547424571454,-114.82613527406944,-876.831776206482,-707.6388788812744,-169.63388965565235,-739.0779377079481,-217.21518822388376,-212.28313859575385
14,-1044.4565497367614,-737.8259587348972,-606.239709303099,76.32858848680105,-1.594340869606501,-91.24940724798759,-855.8975998216335,-693.1184143803379,-158.21697360993173,-657.5440837363334,-181.66089929119974,-178.74748824701706
15,-1060.0277848212204,-718.3595827573613,-613.1223769901496,64.47681648899189,-8.14561688720708,-108.96402065805137,-858.5423709254848,-700.8170741272971,-168.56408828102488,-666.4470126899977,-196.54401887703344,-186.66962753973644
16,-1059.259836674671,-700.5668685985468,-635.8276896526689,77.01379530634499,-16.09155296515844,-109.53072447875469,-832.9748662853208,-713.1894369180161,-164.81407476809696,-669.3211374441895,-192.21628547143365,-200.28781936459978
17,-1063.4757325842616,-758.6915214227183,-597.991866497193,77.34604295889005,-15.4040957700133,-140.88669296514246,-883.4144502893021,-693.2200861354935,-173.66251499061988,-653.6175002543511,-199.47007870055762,-194.18249525187943
18,-1093.84387468394,-710.5427861582712,-609.4857320213633,71.5795233359812,-32.7759865979297,-119.75598567937196,-858.3016933912832,-710.911135523873,-178.53496746668887,-663.767449576275,-213.21060194874562,-209.39962868066345
19,-1096.7866121832753,-775.7854034721767,-641.8122258484584,50.54581226715377,-45.63414986718191,-143.74922666296467,-910.5933862194752,-734.0782155360438,-202.04014159001915,-717.6070552274645,-240.81780812486662,-243.83087916220418
20,-1036.8787868589993,-672.0979591651782,-678.8450272674702,73.51418628459244,-46.249295328637515,-88.02186328442323,-837.8334212384163,-750.2587423491319,-178.2692357607106,-710.2490013487337,-227.5983118594782,-203.09429243417063
21,-1114.7250048646326,-802.1629383902659,-630.6331843602032,67.38151278472726,-56.374465509365756,-154.27989776930454,-930.2569121672702,-743.3090527307086,-194.76366636372015,-691.3457926634042,-240.61882426531278,-223.14963937872002
