Sample,Measure,bias,bw,density,ngrams,ABpvalue,BCpvalue,CApvalue,pReward
310,IXYZ_IYZX_IXZY,0.0,4.0,gausset,2t4,0.001704804348544151,0.002470355557277269,0.0001403870837696089,1.8680226222804247e-11
10,IXYZ_IYZX_IXZY,0.0,3.0,gausset,1t2,0.0029408127758964,0.0025039280847561924,0.002187743290262803,1.6912678418611145e-13
10,IXYZ_IYZX_IXZY,0.0,4.0,gausset,3t4,0.00297063547284412,0.0024909363429710825,0.0021794408908637985,1.2551454728421114e-13
10,IXYZ_IYZX_IXZY,0.0,2.0,gausset,1t2,0.002976618369009037,0.0025472507108341767,0.0024722907265579217,1.1822536842400392e-13
10,IXYZ_IYZX_IXZY,0.0,4.0,gausset,1t2,0.0031287179522658513,0.0031515743347649283,0.002480394269945134,2.0553537089227728e-14
10,IXYZ_IYZX_IXZY,0.0,3.0,gausset,3t4,0.0031565180782216345,0.002688039953447267,0.002408399053548184,1.9562131140684557e-14
310,IXYZ_IYZX_IXZY,0.0,5.0,gausset,2t3,0.003156949244202087,0.0010629168792219922,0.00018694815951361888,1.9477967459122212e-14
260,IXYZ_IYZX_IXZY,0.0,4.0,gausset,2t4,0.0024086924042396487,0.0031800465405290995,0.0007751529477627246,1.546084949561616e-14
10,IXYZ_IYZX_IXZY,0.0,2.0,gausset,3t4,0.0033047994179115922,0.002856707884216767,0.0028002854302003936,4.440567642999567e-15
110,IXYZ_IYZX_IXZY,0.0,4.0,gausset,1t2,0.0033178084764953317,0.0022756238945940343,0.0003463494238558697,3.898888957893255e-15
