Sample,Measure,bias,bw,density,ngrams,ABpvalue,BCpvalue,CApvalue,pReward
260,HXY_HYZ_HXZ,0.0,0.01,gausset,3t4,0.002487394969384269,7.660816306132873e-07,0.0032225429109603203,1.0108203130200756e-14
260,HXY_HYZ_HXZ,2.0,0.0075,gausset,3t4,0.004350158006907485,2.1732100467033463e-07,0.0018448007511587888,1.2808663665143926e-19
260,HXY_HYZ_HXZ,0.0,0.0075,gausset,3t4,0.006807498081896932,1.567901359278548e-08,0.0005457189736178293,2.7252821685658908e-30
310,HXY_HYZ_HXZ,0.0,0.0075,gausset,3t4,0.006851748930642609,8.121220326249289e-15,0.0001912034549957474,1.7507836424582552e-30
310,HXY_HYZ_HXZ,0.0,0.01,gausset,3t4,0.007353786785095849,1.4713215535639948e-12,0.0010218634916332354,1.1558721009943721e-32
310,HXY_HYZ_HXZ,2.0,0.0075,gausset,3t4,0.00925225966653099,1.3006554951198432e-13,0.0005713610219404723,6.575773064131015e-41
260,HXY_HYZ_HXZ,10.0,0.005,gausset,3t4,0.010652920091420113,5.1308173066151254e-06,0.007193938380215707,5.431951472155348e-47
260,HXY_HYZ_HXZ,5.0,0.0075,gausset,3t4,0.005430260896026292,2.9244682365767633e-05,0.011004910526220416,1.607980753566414e-48
260,HXY_HYZ_HXZ,8.0,0.005,gausset,3t4,0.011730614561935384,3.880864106713643e-07,0.0025591793547305925,1.1339352709013253e-51
260,HXY_HYZ_HXZ,2.0,0.01,gausset,3t4,0.004295890173545047,3.776180031459224e-05,0.011748525741539012,9.479839827589031e-52
