Sample,Measure,bias,bw,density,ngrams,ABpvalue,BCpvalue,CApvalue,pReward
260,IXY_IYZ_IXZ,0.0,3.0,gausset,1t4,2.799132928231334e-06,5.344652365914881e-87,5.718375218400687e-07,0.97239679814281
260,IXY_IYZ_IXZ,0.0,5.0,gausset,2t4,2.733568309188473e-07,8.472739460931517e-81,6.986689647909454e-06,0.9325179330660144
310,IXY_IYZ_IXZ,0.0,5.0,gausset,2t4,8.902071592362837e-06,1.4910771955328687e-103,9.137989037723869e-06,0.9126709301301558
210,IXY_IYZ_IXZ,0.0,3.0,gausset,1t4,1.5820803145834893e-05,1.1693231672115625e-43,7.226767842156577e-06,0.8536721728279127
210,IXY_IYZ_IXZ,0.0,5.0,gausset,2t4,5.568615971803713e-06,5.233257334180217e-35,1.8838714246303847e-05,0.8282939773820908
260,IXY_IYZ_IXZ,0.0,4.0,gausset,1t3,1.9065681116777174e-05,9.731484837422434e-114,5.396172348117608e-07,0.8264161562853124
260,IXY_IYZ_IXZ,0.0,2.0,gausset,1t4,2.484187897112428e-05,1.0948429945364428e-123,1.6662768708522517e-06,0.7800332049848165
210,IXY_IYZ_IXZ,0.0,3.0,gausset,1t3,3.4038187859542526e-05,3.1902012502291395e-93,2.377301943920667e-06,0.711498564804064
210,IXY_IYZ_IXZ,0.0,4.0,gausset,1t3,3.927079220605419e-05,1.4874033724052405e-61,3.6619895667180107e-06,0.6752259373877968
260,IXY_IYZ_IXZ,0.0,3.0,gausset,1t3,4.2891632236756566e-05,5.729865113590053e-149,2.9551759429954266e-07,0.6512144189819994
