,"$H[h(X, X)]$","$H[h(Y, Y)]$","$H[h(Z, Z)]$","$H[h(Y+Z, Y+Z)]$","$H[h(X+Z, X+Z)]$","$H[h(X+Y, X+Y)]$","$I[h(Y, X)]$","$I[h(Z, X)]$","$I[h(Y+Z, X)]$","$I[h(Z, Y)]$","$I[h(X+Z, Y)]$","$I[h(X+Y, Z)]$"
0,-3544.0333149740877,-3829.715960683799,-1243.155803861208,72.76943522427466,76.442493435769,-80.3175392370129,-3438.2600235317746,-1233.339099001124,44.59483706351451,-1292.4178379805205,40.85866756896274,83.74848081253143
1,-3578.856975684514,-3854.339914533045,-1198.673594297408,64.15494826551485,71.9307345381679,-96.2626914754924,-3474.6670471083135,-1227.8516231117444,25.326840699053058,-1202.543300954859,22.560992804269347,118.91992495532318
2,-3640.721218259451,-3741.3207920276573,-1029.926722714452,76.31557904079047,76.87906392174929,-81.18898712620005,-3387.1234938093394,-1084.3786729141752,39.657468793406025,-1062.9607480773311,46.87457658564383,111.4254708220191
3,-3794.75268334206,-3488.5849397658912,-1159.7752635141183,78.02485373328447,85.23472886190207,-40.949209889364106,-3187.9729639107263,-1162.190485502028,57.25029868517519,-1197.3474143778017,49.26096349172861,153.78695913489204
4,-3419.7532699995745,-3574.7736066415036,-1583.87923844833,45.114859396197055,63.11335338471812,-33.92010066610306,-3167.115416893443,-1515.9941513167948,1.1961543384458218,-1600.9268221983862,8.245581858135171,41.44138331878433
5,-3754.8633991811594,-3714.4620802400964,-1170.2014783788622,67.07875174229694,69.87905015953461,-54.94988760326552,-3372.6884917626066,-1176.9946490980863,61.62814868781073,-1166.6889357695209,57.323691584620526,131.4638601691297
6,-3741.668927201672,-3774.630098880746,-1143.6445152221843,55.002440021720126,78.61734044811173,-125.80427419881627,-3466.777871560062,-1113.5603975730169,32.28284654912845,-1191.0150487567178,39.162369277060485,163.56135534849972
7,-3749.645993056938,-3457.967281529441,-1327.1577953005108,79.63366119456474,46.68246978891379,-43.29166951027579,-3158.1547057018447,-1362.7799779892646,21.10480176361594,-1284.3073457779465,1.077414423594653,88.52296873722005
8,-3624.32163092053,-3561.8112038669506,-1175.036942963035,61.66355333474552,62.507619971785864,-84.73692106613817,-3224.324554210929,-1154.9833193163781,6.600269021494761,-1170.3575867984396,13.376147678551218,102.89376689144703
9,-4107.485493315954,-3330.6087874071654,-1186.9841883406139,77.61743484102462,85.9574952403534,-33.035947458860285,-3090.7510494795615,-1288.209542007926,43.79184675594069,-1159.5911281999138,66.71625167471807,115.42434114005906
10,-3939.258773486371,-3533.598702047928,-1333.1311668228022,68.53663154801704,56.1240786007183,-97.36679682741247,-3236.3231736942294,-1380.1551922949736,13.434854227860498,-1316.7643963195012,11.505038477246835,48.92432594681594
11,-3542.876505499839,-3658.055621326691,-1334.8249039490336,59.81089815346377,73.1600791211618,4.537603319209213,-3246.278517484833,-1322.8560206259579,39.9216722998519,-1359.5560820102,46.68157698515753,122.83333210076023
12,-3656.8986213633543,-4009.857106167124,-1198.141639415403,65.89361214493887,61.18877301146142,-138.87803274207894,-3610.216202498222,-1190.1680092842723,14.381322589909757,-1268.7636934333475,9.246583616042502,61.33605943260258
13,-3983.5204469871774,-3453.6224230168177,-1165.0745798599082,47.30994694772936,66.9175250255686,-101.44391727812899,-3188.9097012755524,-1218.4754484979403,13.873777561503077,-1123.8906430569054,33.806197255044495,113.74793475906428
14,-3939.3988067240157,-3477.1597567182184,-1264.1716416768422,79.95869874976829,71.90503994605727,-76.41264063497245,-3212.409929947291,-1291.8345796286794,27.28076264202043,-1246.930815191105,33.22278963485482,131.77188335087834
15,-3408.4205981888576,-3661.915295222968,-1258.7339142299552,69.1332137470766,82.89484189957415,-21.006615210707007,-3233.5766796584267,-1221.190466622157,29.3639994505338,-1284.2941427969668,36.0789302371214,138.43171881622038
16,-3757.7143481598882,-3317.093987040114,-1151.7114307897177,80.95459685847524,79.60152195657216,-105.59654251911726,-3089.4019554993292,-1199.604475779421,34.57997110845401,-1101.8704345005615,37.69624463746175,111.20182357659539
17,-3777.5338966302947,-3609.6725354578766,-1042.9488452365104,65.93310629840991,67.44699979288535,-93.62649459433437,-3280.1655659412763,-1062.3072849060331,33.15151592125795,-1073.0663197368317,24.233601315411786,101.55000534095787
18,-3876.7903806036297,-3698.738603781032,-1143.7135316346655,67.77884521824303,71.9884113813211,-144.86449997106254,-3448.2630782226734,-1215.0734113390183,35.34830718339075,-1131.9811719558018,31.490000121394644,97.88018610870711
19,-3922.91524270527,-3574.7298823713595,-1286.8484671765839,70.70380358333091,74.95582395415165,-105.45051180720321,-3314.6630277886356,-1368.292963384648,7.781015364534972,-1232.658917303784,38.963054251369044,70.46383511084
20,-3706.217026649467,-3542.777801041004,-1226.165422729186,76.34834235401289,73.36509967606708,-82.74979909700687,-3245.7165708588986,-1242.8317027350517,28.54823962379384,-1219.1313673524398,46.76911241880675,112.63366583623406
21,-4163.740978957869,-4050.2737748609925,-1079.4265697512405,55.313698277827136,52.5873154462606,-291.8761524536884,-3807.8479293060145,-1177.049746935937,-42.19525829332097,-1184.9382612222134,-42.25534187951513,2.2279918406695662
22,-3845.885803793389,-3694.836506599058,-1129.5985211818697,64.57062215619784,61.023023120406904,-58.00016714781699,-3359.8432016749925,-1194.8187411790452,0.3426806941065764,-1156.2552009924266,14.542282624245347,115.44337456155331
23,-3811.0564297282517,-3527.909861951578,-1282.1815746735517,82.10664883829558,87.44445344584909,-30.17328008085099,-3242.896744184742,-1361.8436272080262,25.89954318851016,-1236.6087511441037,55.03320383657636,119.87400796580978
24,-3894.4086939684894,-3836.7839755762343,-1366.6985151944227,40.61704169615746,62.96997169899371,-127.79383958748143,-3515.121003961378,-1417.6341473322004,-34.10025795057467,-1414.2095269436036,-6.50437043060801,34.97159179975854
25,-3504.5096287236056,-4035.638881684148,-1209.0288874310868,76.42520257270381,74.87876248433687,-74.41883906062004,-3593.592260255376,-1151.4270433574982,21.398318012166722,-1343.3970681841597,10.643281570476372,65.47217863687041
26,-3765.0297512900656,-3698.8676674442204,-1258.336701069033,56.776519372374366,69.2357533650936,-122.73248566261564,-3386.365200460807,-1285.7536503903937,-22.220572849217277,-1252.6007871941983,17.957261016642075,29.92736053553667
27,-3929.954982730578,-3689.094261295471,-1347.2249879534606,68.54469092484935,65.61300174134891,-143.77840612937374,-3415.6683074813554,-1351.6276417363529,7.074057814778727,-1375.230530672593,-2.905242148733769,37.79488549640846
28,-3445.2566450381482,-3983.6130581653792,-951.147258592464,75.66709918051525,68.28500596752586,-114.29767343787545,-3618.3631427844034,-983.6188260210193,17.581918235913744,-1062.637485969052,3.286261127075406,117.51062730213852
29,-3863.840968362852,-3601.7309929512735,-1207.5686926101785,82.06872361186416,76.26022369818699,-86.61392599662649,-3314.6517963135407,-1286.8116722095187,24.840896333816374,-1222.1967590367528,40.077207578339255,73.09476265235811
30,-3626.0237205146686,-3662.7399615069853,-1096.8490495565245,77.79650871404812,80.76273099678359,-99.19840006515834,-3311.9625992819874,-1077.7061077050698,67.84593623734591,-1118.7170584877063,66.89676231838706,137.64242875379983
31,-3494.865983266195,-3687.2478948415865,-1156.791334575947,79.98210355521864,71.17329105590552,-62.60834352263233,-3323.8726776925605,-1116.8350402488572,55.237249989871906,-1193.7924439117035,50.35299192446532,120.74993243616503
32,-3720.078258927593,-3966.9482650386726,-1328.0471425205765,28.756803367873832,58.94018028894183,-88.51971537476132,-3604.1746337359054,-1360.4082076969266,-8.304323920593646,-1313.2705732223146,34.76852165391066,94.85315445319921
33,-3874.225385106001,-3492.1774220451666,-1172.9290891762666,57.984032453034814,87.155104571518,-72.85598860088128,-3239.5992699297176,-1224.9780636136068,16.626270109678476,-1186.9801653050567,43.436972298774464,109.06291457115573
34,-3509.7077989233217,-3839.4023868528448,-1316.9696755486436,66.69738870974362,72.44490444740724,-93.62970799694224,-3419.1512362453286,-1266.5764153277541,-6.4528201155801455,-1372.2873246666861,-1.6718891430525988,58.3545303927555
