agent,bias,bw,density,hitmiss,ngrams,reward,sample,wsize
oie,0.0,3.0,expset,1.0,1t2,0.2993974183619815,10,8
oie,0.0,3.0,expset,1.0,1t3,0.2985739793191943,10,8
oie,0.0,3.0,expset,1.0,1t4,0.2934121324034765,10,8
oie,0.0,4.0,expset,1.0,1t3,0.2115762347521241,10,8
oie,0.0,4.0,expset,1.0,1t4,0.20978074571505076,10,8
oie,0.0,4.0,expset,1.0,1t2,0.2075075253073133,10,8
oie,0.0,5.0,expset,1.0,1t2,0.15440959072643756,10,8
oie,0.0,5.0,expset,1.0,1t4,0.15292971091945504,10,8
oie,0.0,5.0,expset,1.0,1t3,0.15259137427024294,10,8
oie,2.0,3.0,expset,1.0,1t2,0.0683637837722302,10,8
oie,2.0,3.0,expset,1.0,1t4,0.06750132149188244,10,8
oie,2.0,3.0,expset,1.0,1t3,0.06694440316633306,10,8
oie,2.0,4.0,expset,1.0,1t2,0.0664815605446179,10,8
oie,2.0,2.0,expset,1.0,1t2,0.06605879870102792,10,8
oie,2.0,4.0,expset,1.0,1t4,0.06600409831542407,10,8
oie,8.0,5.0,gausset,1.0,3t4,0.06564560063831333,10,8
oie,2.0,4.0,expset,1.0,1t3,0.06522800300090936,10,8
oie,2.0,2.0,expset,1.0,1t4,0.06500734479488482,10,8
oie,2.0,5.0,expset,1.0,1t2,0.06434318593033664,10,8
oie,2.0,2.0,expset,1.0,1t3,0.06430288710465577,10,8
oie,8.0,4.0,gausset,1.0,3t4,0.06424014875054837,10,8
oie,2.0,5.0,expset,1.0,1t4,0.06381383236234398,10,8
oie,10.0,3.0,gausset,1.0,3t4,0.06342644267565051,10,8
oie,10.0,1.0,gausset,1.0,3t4,0.06271881680051758,10,8
oie,8.0,3.0,gausset,1.0,3t4,0.06269130093583325,10,8
oie,2.0,5.0,expset,1.0,1t3,0.062344295567120976,10,8
oie,8.0,2.0,gausset,1.0,3t4,0.06159995375242349,10,8
oie,5.0,3.0,gausset,1.0,3t4,0.061506624288310316,10,8
oie,5.0,4.0,gausset,1.0,3t4,0.06133181869162861,10,8
oie,5.0,5.0,gausset,1.0,3t4,0.06118763356147981,10,8
oie,10.0,2.0,gausset,1.0,3t4,0.06088051341890904,10,8
oie,5.0,2.0,gausset,1.0,3t4,0.05857678409844073,10,8
oie,8.0,1.0,gausset,1.0,3t4,0.05813303656165904,10,8
oie,5.0,1.0,gausset,1.0,3t4,0.055172172102536984,10,8
oie,2.0,5.0,gausset,1.0,3t4,0.052628465676463496,10,8
oie,2.0,4.0,gausset,1.0,3t4,0.050544283930027266,10,8
oie,5.0,5.0,expset,1.0,1t4,0.049356962322242966,10,8
oie,5.0,5.0,expset,1.0,1t3,0.04912155900064577,10,8
oie,5.0,5.0,expset,1.0,1t2,0.04873888545298223,10,8
oie,5.0,4.0,expset,1.0,1t3,0.047905806953726385,10,8
oie,5.0,4.0,expset,1.0,1t4,0.04745679823051769,10,8
oie,5.0,4.0,expset,1.0,1t2,0.047423183101185394,10,8
oie,2.0,1.0,expset,1.0,1t4,0.047185533653803485,10,8
oie,2.0,3.0,gausset,1.0,3t4,0.046923514336950335,10,8
oie,8.0,5.0,expset,1.0,1t2,0.04616493819495443,10,8
oie,8.0,5.0,expset,1.0,1t3,0.04602189928207096,10,8
oie,2.0,1.0,expset,1.0,1t3,0.04577403874823148,10,8
oie,2.0,1.0,expset,1.0,1t2,0.045542753039070766,10,8
oie,8.0,5.0,expset,1.0,1t4,0.04518770163807998,10,8
oie,8.0,4.0,expset,1.0,1t4,0.0449126222174496,10,8
oie,10.0,5.0,expset,1.0,1t3,0.04474527864424794,10,8
oie,10.0,5.0,expset,1.0,1t2,0.04436440053308912,10,8
oie,5.0,3.0,expset,1.0,1t2,0.044148294539112516,10,8
oie,5.0,3.0,expset,1.0,1t4,0.04351666822109401,10,8
oie,10.0,5.0,expset,1.0,1t4,0.043368573596435964,10,8
oie,8.0,4.0,expset,1.0,1t2,0.04327658458432174,10,8
oie,5.0,3.0,expset,1.0,1t3,0.04321374480068135,10,8
oie,8.0,4.0,expset,1.0,1t3,0.04305916416362679,10,8
oie,10.0,4.0,expset,1.0,1t4,0.041910786908060674,10,8
oie,10.0,4.0,expset,1.0,1t3,0.04160637231721837,10,8
oie,10.0,4.0,expset,1.0,1t2,0.04142047297198831,10,8
oie,2.0,2.0,gausset,1.0,3t4,0.039195589457114065,10,8
oie,0.0,2.0,expset,1.0,1t3,0.03916942432841705,10,8
oie,8.0,3.0,expset,1.0,1t4,0.03851270611037768,10,8
oie,0.0,2.0,expset,1.0,1t2,0.03831032366274683,10,8
oie,8.0,3.0,expset,1.0,1t3,0.038129546684137636,10,8
oie,8.0,3.0,expset,1.0,1t2,0.038126468537482056,10,8
oie,0.0,2.0,expset,1.0,1t4,0.037747309947228205,10,8
oie,10.0,3.0,expset,1.0,1t2,0.03638900490715837,10,8
oie,10.0,3.0,expset,1.0,1t3,0.036331640743518516,10,8
oie,10.0,3.0,expset,1.0,1t4,0.03563944057735138,10,8
oie,5.0,2.0,expset,1.0,1t2,0.031273577712974336,10,8
oie,5.0,2.0,expset,1.0,1t4,0.030354068417104144,10,8
oie,5.0,2.0,expset,1.0,1t3,0.030275013826691944,10,8
oie,2.0,1.0,gausset,1.0,3t4,0.02880409826847938,10,8
oie,8.0,2.0,expset,1.0,1t4,0.02466064670527715,10,8
oie,8.0,2.0,expset,1.0,1t3,0.02454917493325902,10,8
oie,8.0,2.0,expset,1.0,1t2,0.024169976988272227,10,8
oie,10.0,2.0,expset,1.0,1t2,0.022637002908346242,10,8
oie,10.0,2.0,expset,1.0,1t3,0.022606073525599967,10,8
oie,10.0,2.0,expset,1.0,1t4,0.022367636109034958,10,8
oie,0.0,2.0,expset,1.0,2t3,0.019894896694679986,10,8
oie,0.0,2.0,expset,1.0,2t4,0.01943354046596212,10,8
oie,0.0,1.0,expset,1.0,3t4,0.014837381124626412,10,8
oie,8.0,4.0,gausset,1.0,2t4,0.01271251907871233,10,8
oie,10.0,2.0,gausset,1.0,2t3,0.012260858632890751,10,8
oie,10.0,3.0,gausset,1.0,2t4,0.012219534026849565,10,8
oie,10.0,2.0,gausset,1.0,2t4,0.01181794234739742,10,8
oie,8.0,2.0,gausset,1.0,2t4,0.011738939684474,10,8
oie,8.0,4.0,gausset,1.0,2t3,0.011712559387226292,10,8
oie,10.0,2.0,gausset,1.0,1t3,0.011695234339884451,10,8
oie,8.0,5.0,gausset,1.0,2t4,0.011686352949194451,10,8
oie,8.0,5.0,gausset,1.0,1t4,0.011658720777859592,10,8
oie,5.0,4.0,gausset,1.0,2t3,0.011617526470469751,10,8
oie,8.0,2.0,gausset,1.0,2t3,0.01156661297354766,10,8
oie,5.0,3.0,gausset,1.0,2t4,0.01155580806185751,10,8
oie,5.0,5.0,gausset,1.0,2t4,0.011535711925222571,10,8
oie,10.0,3.0,gausset,1.0,2t3,0.011514137288618416,10,8
oie,5.0,5.0,gausset,1.0,1t2,0.01148929585066888,10,8
oie,8.0,5.0,gausset,1.0,1t3,0.011474615330056248,10,8
oie,8.0,4.0,gausset,1.0,1t2,0.011445859504985802,10,8
oie,8.0,3.0,gausset,1.0,2t4,0.011414782029078831,10,8
oie,10.0,1.0,gausset,1.0,2t3,0.011378091190277523,10,8
oie,8.0,3.0,gausset,1.0,1t4,0.01135838603731826,10,8
oie,10.0,3.0,gausset,1.0,1t2,0.011356047126069586,10,8
oie,8.0,4.0,gausset,1.0,1t3,0.011345659187518451,10,8
oie,8.0,5.0,gausset,1.0,1t2,0.011304991820363805,10,8
oie,8.0,1.0,gausset,1.0,2t4,0.011292994023007468,10,8
oie,10.0,2.0,gausset,1.0,1t2,0.011287974777760676,10,8
oie,8.0,5.0,gausset,1.0,2t3,0.011283629981644448,10,8
oie,8.0,3.0,gausset,1.0,1t2,0.011278863267043412,10,8
oie,10.0,2.0,gausset,1.0,1t4,0.011259169544453029,10,8
oie,8.0,2.0,gausset,1.0,1t4,0.01123870693380628,10,8
oie,8.0,3.0,gausset,1.0,2t3,0.011179000075744376,10,8
oie,8.0,2.0,gausset,1.0,1t3,0.011163452986861538,10,8
oie,10.0,3.0,gausset,1.0,1t4,0.011150039592970076,10,8
oie,5.0,5.0,gausset,1.0,2t3,0.011099810788716993,10,8
oie,5.0,4.0,gausset,1.0,2t4,0.011069913353206002,10,8
oie,10.0,3.0,gausset,1.0,1t3,0.011064357166059751,10,8
oie,5.0,5.0,gausset,1.0,1t3,0.011040477968501912,10,8
oie,5.0,3.0,gausset,1.0,1t2,0.011028478682139391,10,8
oie,5.0,3.0,gausset,1.0,1t4,0.011006757296852996,10,8
oie,8.0,1.0,gausset,1.0,1t2,0.011001235377696423,10,8
oie,10.0,1.0,gausset,1.0,2t4,0.010995636991285343,10,8
oie,10.0,1.0,gausset,1.0,1t2,0.01098236536533599,10,8
oie,8.0,2.0,gausset,1.0,1t2,0.010907651786039757,10,8
