Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,ACpvalue
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,expset,2t3,54415.03371414468,2.8295014095894004e-08,1.6422086122213307e-05,2.8295014095894004e-08
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t3,17105.299602333187,2.2373461894680866e-12,3.1600414223384486e-12,2.2373461894680866e-12
52,HX_HY_HZ,8,oie,10.0,0.2,1.0,expset,2t3,2169803.6106543355,1.6843540113789162e-09,3.753911591421949e-07,1.6843540113789162e-09
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,expset,3t4,0.1178234230452061,5.686238529801648e-05,7.174032815057304e-05,5.686238529801648e-05
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,gausset,1t4,1.9593717812562114e-18,1504784588656536.2,1.3421778124901598e+17,1504784588656536.2
52,HX_HY_HZ,8,rdn,0.0,0.6,5.0,gausset,1t4,0.2185663552070856,0.4373448453752513,0.4914682629672926,0.4373448453752513
52,HX_HY_HZ,8,oie,4.4,0.3,2.3,gausset,1t4,6.184162699573415e-19,2.0432904029485012e+16,5.890821479226216e+17,2.0432904029485012e+16
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,3t4,14.338919548218186,0.0001709520618062376,0.03783228808306003,0.0001709520618062376
52,HX_HY_HZ,8,oie,3.3,0.8,2.3,expset,1t2,1481.275314711349,7.698039026906336e-07,0.0001018265875437196,7.698039026906336e-07
52,HX_HY_HZ,8,rdn,1.1,0.7,1.0,expset,3t4,0.42704108528803647,7.534765495910406e-07,8.725358094320617e-07,7.534765495910406e-07
52,HX_HY_HZ,8,rdn,10.0,0.4,3.7,gausset,3t4,5.9453892315349766e-158,2.314467642021253e+156,3.576640436039766e+156,2.314467642021253e+156
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,expset,1t4,882.5907581526417,3.0398891977953394e-06,0.0002286456948348276,3.0398891977953394e-06
52,HX_HY_HZ,8,oie,10.0,0.4,3.7,expset,2t4,10811382.563656064,2.222113613228698e-10,7.671810370951448e-08,2.222113613228698e-10
52,HX_HY_HZ,8,oie,8.9,0.1,2.3,expset,1t3,900898.980920695,2.8450063490853603e-09,1.549585742495944e-07,2.8450063490853603e-09
52,HX_HY_HZ,8,rdn,3.3,0.4,2.3,gausset,2t4,1.3255679111233106e-11,6797188269.317712,7381303223.745037,6797188269.317712
52,HX_HY_HZ,8,oie,4.4,0.9,3.7,expset,2t4,22646.527717354973,4.3366914133774924e-08,3.730156657282389e-05,4.3366914133774924e-08
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,2t4,2.5425072130593297e-129,2.427888427961825e+126,1.4156726262290039e+128,2.427888427961825e+126
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,expset,2t3,3284792.7537172544,3.245226705627242e-10,2.564301024985278e-07,3.245226705627242e-10
52,HX_HY_HZ,8,rdn,2.2,1.0,3.7,expset,1t4,73.32622930029032,0.0002501776679114499,0.00025755700606827436,0.0002501776679114499
