Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,ACpvalue
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,expset,2t3,3.720076714779965e-44,0.9999999980141291,0.902463510055075,1.985870939705994e-09
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t3,3.7200760113751933e-44,0.9999999999049634,0.9999999998336343,9.503659659565329e-11
52,HX_HY_HZ,8,oie,10.0,0.2,1.0,expset,2t3,3.721819098303396e-44,0.9999953153805663,0.8466393361669384,4.684619433735813e-06
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,expset,3t4,3.7263776973095137e-44,0.9999830745665802,0.9999783789434197,1.692543341982196e-05
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,gausset,1t4,3.720075976020836e-44,1.0,0.9999917905664694,5.707011525630116e-23
52,HX_HY_HZ,8,rdn,0.0,0.6,5.0,gausset,1t4,6.30770978613034e-33,0.7414353540803275,0.6540291237434772,0.25856464591967254
52,HX_HY_HZ,8,oie,4.4,0.3,2.3,gausset,1t4,3.720075977051818e-44,0.9999999999972287,0.9970587508564712,2.7713610922511443e-12
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,3t4,3.7200759927571946e-44,0.9999999999550108,0.9815832808250519,4.4989223001381923e-11
52,HX_HY_HZ,8,oie,3.3,0.8,2.3,expset,1t2,3.7235462613000127e-44,0.9999906758150267,0.982752056480503,9.324184973303638e-06
52,HX_HY_HZ,8,rdn,1.1,0.7,1.0,expset,3t4,3.7205813823535663e-44,0.9999986415008536,0.999998417049868,1.3584991463895122e-06
52,HX_HY_HZ,8,rdn,10.0,0.4,3.7,gausset,3t4,4.696511999496103e-43,0.9746433889330787,0.7368483329321623,0.02535661106692136
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,expset,1t4,3.728313674706962e-44,0.9999778805824316,0.9738117482865464,2.211941756830183e-05
52,HX_HY_HZ,8,oie,10.0,0.4,3.7,expset,2t4,3.720471876280163e-44,0.9999989358303514,0.8649863262805391,1.0641696485847462e-06
52,HX_HY_HZ,8,oie,8.9,0.1,2.3,expset,1t3,3.7400054584953314e-44,0.999946570208219,0.9784000413200291,5.342979178103813e-05
52,HX_HY_HZ,8,rdn,3.3,0.4,2.3,gausset,2t4,3.0747741748778933e-37,0.8407241698128209,0.7877692936460627,0.1592758301871791
52,HX_HY_HZ,8,oie,4.4,0.9,3.7,expset,2t4,3.7200822515898474e-44,0.9999999831305496,0.9055491741591648,1.686945043099701e-08
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,2t4,3.720075976020836e-44,1.0,0.9999900353615867,4.363006777956875e-27
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,expset,2t3,3.720078979132692e-44,0.9999999919272868,0.9105424720462689,8.0727131839037e-09
52,HX_HY_HZ,8,rdn,2.2,1.0,3.7,expset,1t4,3.720075976020836e-44,1.0,1.0,0.0
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,gausset,2t3,3.7200910808315175e-44,0.9999999593965819,0.990771894197489,4.0603418050532666e-08
52,HX_HY_HZ,8,oie,4.4,0.6,5.0,gausset,3t4,3.720075976020836e-44,1.0,0.9894819923633975,5.578260432442598e-31
52,HX_HY_HZ,8,oie,4.4,0.2,1.0,expset,3t4,5.8640994956409125e-44,0.9954489516010099,0.8338253162772047,0.004551048398990169
52,HX_HY_HZ,8,oie,3.3,1.0,1.0,gausset,1t4,3.720075976020836e-44,1.0,0.999992920904452,7.498902168516355e-24
52,HX_HY_HZ,8,rdn,3.3,0.3,1.0,gausset,2t3,4.5418049053518905e-31,0.698668133935218,0.5033736471473579,0.301331866064782
52,HX_HY_HZ,8,oie,3.3,0.2,5.0,expset,2t3,3.7212821180323267e-44,0.9999967582744794,0.8543170857573221,3.2417255205702912e-06
52,HX_HY_HZ,8,oie,0.0,0.8,1.0,gausset,3t4,3.7200759760245366e-44,0.9999999999999901,0.7329560030455854,9.827275797225992e-15
52,HX_HY_HZ,8,oie,7.8,0.5,5.0,gausset,1t4,3.720075976021523e-44,0.9999999999999981,0.9998781052095959,1.9274965652763724e-15
52,HX_HY_HZ,8,rdn,3.3,0.3,2.3,gausset,1t4,3.527605535908482e-31,0.7011951856047177,0.5071457075242868,0.2988048143952823
52,HX_HY_HZ,8,oie,2.2,0.3,2.3,expset,2t3,3.7204216256243994e-44,0.9999990708965386,0.8569444634812671,9.291034614244087e-07
52,HX_HY_HZ,8,oie,7.8,0.9,3.7,expset,1t3,3.730481336829455e-44,0.9999720682168144,0.9785449210378628,2.7931783185566744e-05
52,HX_HY_HZ,8,oie,0.0,1.0,2.3,gausset,2t4,3.7200759791557577e-44,0.999999999991573,0.974991986566541,8.427001536471167e-12
52,HX_HY_HZ,8,rdn,5.6,0.4,1.0,expset,2t3,3.7200769988171573e-44,0.9999999972506041,0.9999999942345166,2.7493959735738864e-09
52,HX_HY_HZ,8,rdn,0.0,0.4,3.7,expset,2t4,3.7200759760209417e-44,0.9999999999999997,0.9999999999999982,3.3024927782153677e-16
