Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,ACpvalue
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,expset,2t3,0.9502174735372202,0.001626907186995339,0.9502174735372202,0.9983730928130047
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t3,0.0009737362069060716,0.000724828190800613,0.0009737362069060716,0.9992751718091993
52,HX_HY_HZ,8,oie,10.0,0.2,1.0,expset,2t3,0.8836621223508287,0.013358755257272339,0.8836621223508287,0.9866412447427277
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,expset,3t4,0.02187404839844467,0.019088893814838238,0.02187404839844467,0.9809111061851619
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,gausset,1t4,0.7225954701939801,4.808754935409826e-07,0.7225954701939801,0.9999995191245065
52,HX_HY_HZ,8,rdn,0.0,0.6,5.0,gausset,1t4,0.47116848650033016,0.37301125416748626,0.47116848650033016,0.6269887458325137
52,HX_HY_HZ,8,oie,4.4,0.3,2.3,gausset,1t4,0.7552822213805432,0.00028503674386496947,0.7552822213805432,0.9997149632561351
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,3t4,0.8757176467725839,0.000594620504672373,0.8757176467725839,0.9994053794953276
52,HX_HY_HZ,8,oie,3.3,0.8,2.3,expset,1t2,0.5103781833700818,0.016167520633021668,0.5103781833700818,0.9838324793669784
52,HX_HY_HZ,8,rdn,1.1,0.7,1.0,expset,3t4,0.01032872777124625,0.009499128698696936,0.01032872777124625,0.9905008713013032
52,HX_HY_HZ,8,rdn,10.0,0.4,3.7,gausset,3t4,0.6343099115122883,0.1642971390259057,0.6343099115122883,0.8357028609740943
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,expset,1t4,0.5406406194871116,0.020572096429847083,0.5406406194871116,0.979427903570153
52,HX_HY_HZ,8,oie,10.0,0.4,3.7,expset,2t4,0.8974975017899132,0.008883943927841005,0.8974975017899132,0.991116056072159
52,HX_HY_HZ,8,oie,8.9,0.1,2.3,expset,1t3,0.46631359717232573,0.026358491329610757,0.46631359717232573,0.9736415086703892
52,HX_HY_HZ,8,rdn,3.3,0.4,2.3,gausset,2t4,0.38209398393439464,0.3089885721068708,0.38209398393439464,0.6910114278931292
52,HX_HY_HZ,8,oie,4.4,0.9,3.7,expset,2t4,0.9259931464608008,0.0028863688003193527,0.9259931464608008,0.9971136311996807
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,2t4,0.8624612475941642,4.227812537603368e-08,0.8624612475941642,0.9999999577218747
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,expset,2t3,0.9306113235836835,0.0023679994673625198,0.9306113235836835,0.9976320005326375
52,HX_HY_HZ,8,rdn,2.2,1.0,3.7,expset,1t4,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,gausset,2t3,0.6277413503674765,0.0036568413186730065,0.6277413503674765,0.996343158681327
52,HX_HY_HZ,8,oie,4.4,0.6,5.0,gausset,3t4,0.9997195915090206,4.2753572290204216e-09,0.9997195915090206,0.9999999957246428
52,HX_HY_HZ,8,oie,4.4,0.2,1.0,expset,3t4,0.6310762498388768,0.09610013273099394,0.6310762498388768,0.9038998672690068
52,HX_HY_HZ,8,oie,3.3,1.0,1.0,gausset,1t4,0.7451801133214473,2.8547613794590345e-07,0.7451801133214473,0.999999714523862
52,HX_HY_HZ,8,rdn,3.3,0.3,1.0,gausset,2t3,0.5994138821439973,0.3973212459403909,0.5994138821439973,0.6026787540596088
52,HX_HY_HZ,8,oie,3.3,0.2,5.0,expset,2t3,0.8849028770004749,0.012067017902721381,0.8849028770004749,0.9879329820972786
52,HX_HY_HZ,8,oie,0.0,0.8,1.0,gausset,3t4,0.9993238806471237,6.50064827892013e-05,0.9993238806471237,0.9999349935172108
52,HX_HY_HZ,8,oie,7.8,0.5,5.0,gausset,1t4,0.6029847715197649,4.2512215801417354e-05,0.6029847715197649,0.9999574877841986
52,HX_HY_HZ,8,rdn,3.3,0.3,2.3,gausset,1t4,0.5971619643643945,0.39592057030875033,0.5971619643643945,0.6040794296912497
52,HX_HY_HZ,8,oie,2.2,0.3,2.3,expset,2t3,0.9061544123080094,0.008559736717985473,0.9061544123080094,0.9914402632820145
52,HX_HY_HZ,8,oie,7.8,0.9,3.7,expset,1t3,0.4961039889294548,0.02196189178372182,0.4961039889294548,0.9780381082162781
52,HX_HY_HZ,8,oie,0.0,1.0,2.3,gausset,2t4,0.92008688725679,0.0003820486862835672,0.92008688725679,0.9996179513137164
52,HX_HY_HZ,8,rdn,5.6,0.4,1.0,expset,2t3,0.0026284470376839036,0.001774662094588824,0.0026284470376839036,0.9982253379054111
52,HX_HY_HZ,8,rdn,0.0,0.4,3.7,expset,2t4,6.314406054334451e-05,2.6862251231758224e-05,6.314406054334451e-05,0.9999731377487683
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,expset,2t3,0.9366609277019639,0.004485665329669591,0.9366609277019639,0.9955143346703303
52,HX_HY_HZ,8,rdn,10.0,0.5,3.7,expset,1t4,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,expset,2t4,0.9223835187660613,0.006151705494319996,0.9223835187660613,0.99384829450568
52,HX_HY_HZ,8,rdn,3.3,0.2,1.0,gausset,2t3,0.4554092170593977,0.4462024377068359,0.4554092170593977,0.5537975622931641
52,HX_HY_HZ,8,rdn,6.7,0.3,3.7,expset,2t3,0.0016515155704147245,0.001130636631144419,0.0016515155704147245,0.9988693633688556
52,HX_HY_HZ,8,rdn,4.4,0.6,2.3,expset,2t4,0.0011380973157886331,0.0008330071484885004,0.0011380973157886331,0.9991669928515114
52,HX_HY_HZ,8,oie,3.3,0.9,3.7,expset,3t4,0.8499404110110548,0.0002221322955715126,0.8499404110110548,0.9997778677044284
52,HX_HY_HZ,8,rdn,10.0,0.5,1.0,gausset,1t4,0.4077997022365155,0.38598667070913384,0.4077997022365155,0.6140133292908666
52,HX_HY_HZ,8,rdn,3.3,0.5,5.0,gausset,2t3,0.40925066378592034,0.3879333015182013,0.40925066378592034,0.6120666984817986
52,HX_HY_HZ,8,rdn,0.0,0.7,2.3,expset,2t4,1.5786790493417168e-05,8.931127168314986e-06,1.5786790493417168e-05,0.9999910688728317
52,HX_HY_HZ,8,oie,1.1,0.1,3.7,gausset,1t4,0.671305614948594,0.04837342355357077,0.671305614948594,0.9516265764464292
52,HX_HY_HZ,8,rdn,7.8,1.0,2.3,gausset,1t4,0.48605314541390904,0.3681875919690243,0.48605314541390904,0.6318124080309757
52,HX_HY_HZ,8,oie,4.4,0.7,2.3,gausset,2t4,0.7466063176912653,5.6509186522990836e-05,0.7466063176912653,0.999943490813477
52,HX_HY_HZ,8,rdn,8.9,0.7,2.3,expset,2t4,0.001488120137018857,0.0011688411447829884,0.001488120137018857,0.998831158855217
52,HX_HY_HZ,8,rdn,4.4,0.6,5.0,gausset,1t2,0.49855461322087397,0.3491702579222337,0.49855461322087397,0.6508297420777662
52,HX_HY_HZ,8,rdn,10.0,0.6,1.0,gausset,1t3,0.49863844820496767,0.34900671778947967,0.49863844820496767,0.6509932822105203
52,HX_HY_HZ,8,rdn,3.3,0.7,2.3,gausset,2t4,0.4837178824921982,0.40276663531904566,0.4837178824921982,0.5972333646809543
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,gausset,2t3,0.7897259229567578,1.353250529976148e-06,0.7897259229567578,0.99999864674947
52,HX_HY_HZ,8,rdn,10.0,0.7,1.0,gausset,1t4,0.4866225540578784,0.4037766851797562,0.4866225540578784,0.5962233148202433
52,HX_HY_HZ,8,oie,1.1,1.0,3.7,expset,2t3,0.928103919101509,0.003797646953259272,0.928103919101509,0.9962023530467407
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,gausset,1t4,0.7167098817123441,0.005840543615678725,0.7167098817123441,0.9941594563843212
52,HX_HY_HZ,8,oie,4.4,1.0,5.0,gausset,2t4,0.791036210388127,3.867321909821868e-08,0.791036210388127,0.9999999613267809
52,HX_HY_HZ,8,oie,6.7,0.1,3.7,expset,2t4,0.8601442121136442,0.01687991848165576,0.8601442121136442,0.9831200815183443
52,HX_HY_HZ,8,oie,8.9,0.6,1.0,gausset,1t3,0.7129517415097162,4.260034894353186e-07,0.7129517415097162,0.9999995739965105
52,HX_HY_HZ,8,rdn,5.6,0.1,2.3,expset,1t3,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,rdn,5.6,0.8,5.0,expset,3t4,0.012729193805674475,0.009885835293220319,0.012729193805674475,0.9901141647067796
52,HX_HY_HZ,8,oie,10.0,0.9,5.0,expset,1t2,0.4928039303415965,0.02439637034965333,0.4928039303415965,0.9756036296503467
52,HX_HY_HZ,8,rdn,5.6,1.0,3.7,expset,1t2,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,rdn,4.4,0.9,3.7,expset,1t2,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,oie,2.2,0.2,5.0,gausset,2t4,0.6212114250410995,0.003982572694237809,0.6212114250410995,0.9960174273057621
52,HX_HY_HZ,8,rdn,8.9,0.5,5.0,expset,3t4,0.017110490942963647,0.012430518670982072,0.017110490942963647,0.9875694813290179
52,HX_HY_HZ,8,rdn,4.4,0.1,2.3,expset,1t4,0.0,0.0,0.0,1.0
