Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,pvalues
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,expset,2t3,1.0,"[2.5826585879577287e-31, 5.839370099666256e-174, 3.980966939105539e-178]"
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t3,7.527454856421237e-48,"[3.4712950255308133e-181, 0.1085055274795127, 3.686375032099654e-181]"
52,HX_HY_HZ,8,oie,10.0,0.2,1.0,expset,2t3,1.0,"[3.0063216458077035e-33, 2.138401155345661e-171, 1.4623207583526546e-176]"
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,expset,3t4,2.4568827564036937e-86,"[1.97040985395069e-177, 0.19712342462327886, 2.0911718248327174e-177]"
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,gausset,1t4,1.0,"[1.383371464607145e-178, 4.61348066505947e-61, 2.5084708751633182e-168]"
52,HX_HY_HZ,8,rdn,0.0,0.6,5.0,gausset,1t4,0.8411873904918639,"[8.527602145419544e-15, 4.5993651875773566e-07, 0.00017294082517100166]"
52,HX_HY_HZ,8,oie,4.4,0.3,2.3,gausset,1t4,1.0,"[6.411442957346906e-175, 1.1483401676598936e-43, 2.653185452805871e-142]"
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,3t4,1.0,"[5.201333655655163e-41, 1.6987860596766563e-176, 2.64549653187225e-170]"
52,HX_HY_HZ,8,oie,3.3,0.8,2.3,expset,1t2,1.0,"[7.324273090447795e-123, 6.575765837763881e-106, 5.2943689207630425e-174]"
52,HX_HY_HZ,8,rdn,1.1,0.7,1.0,expset,3t4,3.266527854743701e-117,"[2.6007475660421066e-178, 0.2682187282776436, 2.8673151017492466e-178]"
52,HX_HY_HZ,8,rdn,10.0,0.4,3.7,gausset,3t4,0.9999350470773392,"[1.4607771141367053e-75, 6.495503219332112e-08, 7.895222000767219e-33]"
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,expset,1t4,1.0,"[7.041334963973354e-112, 1.354526259878277e-100, 1.8719838488402185e-171]"
52,HX_HY_HZ,8,oie,10.0,0.4,3.7,expset,2t4,1.0,"[1.971156229268726e-35, 8.28041256719029e-172, 2.664464578497287e-177]"
52,HX_HY_HZ,8,oie,8.9,0.1,2.3,expset,1t3,1.0,"[7.096869305568508e-119, 2.7002982417701663e-91, 3.185537368437333e-171]"
