Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,pvalues
52,IXYZ_IYZX_IXZY,8,oie,6.7,0.6,1.0,expset,2t3,1.0,"[2.9017633915966636e-131, 1.7502895444716223e-53, 7.014965487674896e-169]"
52,IXYZ_IYZX_IXZY,8,rdn,7.8,0.9,5.0,expset,2t3,1.5271767044105283e-83,"[0.19069114197898362, 8.2991420027225e-136, 2.9332773282289077e-134]"
52,IXYZ_IYZX_IXZY,8,oie,10.0,0.2,1.0,expset,2t3,1.0,"[8.482452253686812e-130, 5.1562351044468184e-55, 3.782382242599818e-167]"
52,IXYZ_IYZX_IXZY,8,rdn,0.0,0.3,1.0,expset,3t4,2.2922674686543277e-27,"[0.0613402560221747, 1.3633225727266743e-163, 4.401632979394696e-163]"
52,IXYZ_IYZX_IXZY,8,oie,6.7,0.6,1.0,gausset,1t4,0.22719958955321426,"[4.378463306047832e-37, 4.369945765488754e-33, 0.0014819263986807238]"
52,IXYZ_IYZX_IXZY,8,rdn,0.0,0.6,5.0,gausset,1t4,2.789213654100722e-05,"[0.010487165753270897, 1.0891320729851754e-12, 8.960882664897892e-18]"
52,IXYZ_IYZX_IXZY,8,oie,4.4,0.3,2.3,gausset,1t4,3.488094389107946e-61,"[0.13920833510585873, 0.028638985469398432, 0.0033933968265769682]"
52,IXYZ_IYZX_IXZY,8,oie,0.0,0.7,2.3,expset,3t4,1.0,"[6.631638413434084e-134, 5.894213494662803e-73, 5.0821068079986626e-33]"
52,IXYZ_IYZX_IXZY,8,oie,3.3,0.8,2.3,expset,1t2,1.0,"[1.59816764496639e-44, 6.74496871923092e-63, 1.3986633108423486e-121]"
52,IXYZ_IYZX_IXZY,8,rdn,1.1,0.7,1.0,expset,3t4,1.0546852710896803e-34,"[0.07823465076061817, 9.138567247752098e-75, 8.10281399666966e-80]"
52,IXYZ_IYZX_IXZY,8,rdn,10.0,0.4,3.7,gausset,3t4,1.6010212850990834e-42,"[1.1062470958926237e-10, 0.00031700504942132535, 0.0962379321769461]"
52,IXYZ_IYZX_IXZY,8,oie,2.2,0.6,5.0,expset,1t4,1.0,"[7.281048471755398e-51, 7.238846203903467e-51, 5.099158272533375e-129]"
52,IXYZ_IYZX_IXZY,8,oie,10.0,0.4,3.7,expset,2t4,1.0,"[3.517923109772136e-134, 1.7395920809314825e-61, 9.867100567915808e-170]"
52,IXYZ_IYZX_IXZY,8,oie,8.9,0.1,2.3,expset,1t3,0.9999831656616609,"[1.6834480038120712e-08, 7.764905897314741e-12, 7.9099977636926495e-28]"
52,IXYZ_IYZX_IXZY,8,rdn,3.3,0.4,2.3,gausset,2t4,1.557266655159371e-32,"[2.6104050876509604e-11, 0.00013597843119955298, 0.07323979083547653]"
52,IXYZ_IYZX_IXZY,8,oie,4.4,0.9,3.7,expset,2t4,1.0,"[3.362026504974093e-129, 5.439826843442259e-58, 5.753658597993521e-168]"
52,IXYZ_IYZX_IXZY,8,oie,7.8,0.9,5.0,gausset,2t4,3.8513475908819956e-191,"[0.12394400037648318, 0.16164391502059372, 0.4384453296512013]"
52,IXYZ_IYZX_IXZY,8,oie,8.9,0.8,3.7,expset,2t3,1.0,"[2.415731129451064e-138, 7.843332880355141e-65, 1.4520971681991634e-171]"
52,IXYZ_IYZX_IXZY,8,rdn,2.2,1.0,3.7,expset,1t4,8.920570610072646e-25,"[0.055376267410566116, 6.268610624427199e-67, 6.961215349203246e-70]"
52,IXYZ_IYZX_IXZY,8,oie,7.8,0.2,5.0,gausset,2t3,1.0974332957550751e-97,"[0.016309177217119195, 0.017838978954008294, 0.22325777993465762]"
52,IXYZ_IYZX_IXZY,8,oie,4.4,0.6,5.0,gausset,3t4,1.4284212111293578e-75,"[1.5262474963992225e-24, 1.1264308625334484e-25, 0.17233731218835302]"
52,IXYZ_IYZX_IXZY,8,oie,4.4,0.2,1.0,expset,3t4,1.0,"[6.815145385166037e-161, 2.0535342067423907e-56, 2.1488783001129048e-88]"
52,IXYZ_IYZX_IXZY,8,oie,3.3,1.0,1.0,gausset,1t4,0.999953168768651,"[5.443063539982279e-42, 2.96673636322363e-78, 4.683232796528533e-08]"
52,IXYZ_IYZX_IXZY,8,rdn,3.3,0.3,1.0,gausset,2t3,4.789974518304625e-203,"[0.005169960361561794, 0.14190004934457218, 0.465858248786152]"
52,IXYZ_IYZX_IXZY,8,oie,3.3,0.2,5.0,expset,2t3,1.0,"[1.5122898424400387e-116, 6.041252185571395e-35, 1.8360773970291622e-152]"
52,IXYZ_IYZX_IXZY,8,oie,0.0,0.8,1.0,gausset,3t4,5.740108431036853e-141,"[0.0005929516707524017, 0.32291702001158284, 0.0001460096094383346]"
52,IXYZ_IYZX_IXZY,8,oie,7.8,0.5,5.0,gausset,1t4,0.9999722847538259,"[7.084149971524222e-09, 9.328224403220666e-25, 2.7715630248603617e-08]"
