Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,ACpvalue
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,expset,2t3,1.0,1.929595328031544e-33,6.043036060654617e-299,0.0
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t3,7.353812333592256e-120,0.0,0.27431499229568873,0.0
52,HX_HY_HZ,8,oie,10.0,0.2,1.0,expset,2t3,1.0,4.938320843507534e-32,9.095260300589452e-265,1.66046e-319
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,expset,3t4,3.141399948750152e-156,0.0,0.3580586059629587,0.0
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,gausset,1t4,1.0,5.658917943546437e-208,2.198479458597526e-64,1.533133878665289e-185
52,HX_HY_HZ,8,rdn,0.0,0.6,5.0,gausset,1t4,0.9450716116802851,2.8449044681854056e-18,1.250506375522851e-07,5.6494574803662524e-05
52,HX_HY_HZ,8,oie,4.4,0.3,2.3,gausset,1t4,1.0,5.0871847751203735e-203,2.8344817181508743e-48,8.99349896959709e-167
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,3t4,1.0,7.045808543990458e-46,2.818454045690825e-247,1.7973271676881422e-243
52,HX_HY_HZ,8,oie,3.3,0.8,2.3,expset,1t2,1.0,2.9656547280573555e-155,5.982023033233407e-125,4.506778e-317
52,HX_HY_HZ,8,rdn,1.1,0.7,1.0,expset,3t4,9.507349869162447e-266,0.0,0.6102355695665002,0.0
52,HX_HY_HZ,8,rdn,10.0,0.4,3.7,gausset,3t4,9.056781761066261e-53,0.031299053696198724,0.11983349608574333,0.04559079470427342
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,expset,1t4,1.0,1.9610408233649495e-133,1.7635855637417154e-117,1.2179841002155057e-292
52,HX_HY_HZ,8,oie,10.0,0.4,3.7,expset,2t4,1.0,4.8668050689677216e-36,8.60716553615585e-278,0.0
52,HX_HY_HZ,8,oie,8.9,0.1,2.3,expset,1t3,1.0,2.703679758649503e-148,2.5272342948401833e-104,4.912414281537011e-300
52,HX_HY_HZ,8,rdn,3.3,0.4,2.3,gausset,2t4,0.00012368790987417314,5.22103180324877e-36,1.414270296762174e-18,0.00899774902081882
52,HX_HY_HZ,8,oie,4.4,0.9,3.7,expset,2t4,1.0,1.1115987988119207e-42,2.364919110604054e-301,0.0
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,2t4,2.0476941470314994e-18,0.013887887859535746,0.040729817320138,0.015201472305283147
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,expset,2t3,1.0,5.72367654183592e-42,6.03778323600256e-300,0.0
52,HX_HY_HZ,8,rdn,2.2,1.0,3.7,expset,1t4,0.0,6.679253328477021e-181,0.8127266976889663,1.8100644205011872e-190
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,gausset,2t3,5.564693648584622e-19,0.015669752392246997,0.042032674833344975,0.02168759480380734
52,HX_HY_HZ,8,oie,4.4,0.6,5.0,gausset,3t4,0.9999999999899228,3.561743982051217e-232,1.0077144380103165e-14,1.933097966865743e-199
52,HX_HY_HZ,8,oie,4.4,0.2,1.0,expset,3t4,1.0,1.134972697177382e-33,8.169057319768392e-178,3.4671391330988996e-110
52,HX_HY_HZ,8,oie,3.3,1.0,1.0,gausset,1t4,1.0,9.793337079199783e-216,1.3022101664865557e-66,1.9074321670480463e-192
52,HX_HY_HZ,8,rdn,3.3,0.3,1.0,gausset,2t3,0.0,1.0502237794158866e-12,0.9147900246820413,1.5303686397339606e-13
52,HX_HY_HZ,8,oie,3.3,0.2,5.0,expset,2t3,1.0,1.9816608740259193e-37,1.0780863196405908e-276,0.0
52,HX_HY_HZ,8,oie,0.0,0.8,1.0,gausset,3t4,0.9732238938405765,1.40283e-318,2.7141116544550703e-05,3.3197009048266945e-293
52,HX_HY_HZ,8,oie,7.8,0.5,5.0,gausset,1t4,4.012372529265745e-15,0.013579184669538122,0.03314939367536647,0.01672607519759396
52,HX_HY_HZ,8,rdn,3.3,0.3,2.3,gausset,1t4,0.0,2.290635603543855e-12,0.8204060414862834,3.4199096975310074e-14
52,HX_HY_HZ,8,oie,2.2,0.3,2.3,expset,2t3,1.0,1.5912775254913868e-34,2.1601082260583765e-289,0.0
52,HX_HY_HZ,8,oie,7.8,0.9,3.7,expset,1t3,1.0,1.4788579660174107e-148,8.185797956248355e-119,1.8168792293e-314
52,HX_HY_HZ,8,oie,0.0,1.0,2.3,gausset,2t4,1.0,2.186636491817257e-291,1.341020250696822e-44,3.552949877919251e-241
52,HX_HY_HZ,8,rdn,5.6,0.4,1.0,expset,2t3,4.151037068445757e-33,0.0,0.07456194986976868,0.0
52,HX_HY_HZ,8,rdn,0.0,0.4,3.7,expset,2t4,5.920074669926689e-32,0.0,0.0719043739138298,0.0
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,expset,2t3,1.0,9.521194489390093e-36,2e-323,0.0
52,HX_HY_HZ,8,rdn,10.0,0.5,3.7,expset,1t4,0.0,2.5651118596929376e-221,0.927128398803454,5.336423610831107e-231
52,HX_HY_HZ,8,oie,0.0,0.5,3.7,expset,2t4,1.0,7.167369749839524e-38,3.4902379019587e-310,0.0
52,HX_HY_HZ,8,rdn,3.3,0.2,1.0,gausset,2t3,0.0,1.1506971305324016e-05,0.0007254475381699028,0.7470286219547713
52,HX_HY_HZ,8,rdn,6.7,0.3,3.7,expset,2t3,3.4214163964037084e-60,0.0,0.13692505096330984,0.0
52,HX_HY_HZ,8,rdn,4.4,0.6,2.3,expset,2t4,7.391190957203085e-105,0.0,0.23977114588445564,0.0
52,HX_HY_HZ,8,oie,3.3,0.9,3.7,expset,3t4,1.0,1.3889466605414192e-52,3.9451311189560975e-241,1.1422785704514973e-231
52,HX_HY_HZ,8,rdn,10.0,0.5,1.0,gausset,1t4,8.699578117091533e-169,1.1870114434301357e-16,9.28996703022815e-16,0.3869736061837973
52,HX_HY_HZ,8,rdn,3.3,0.5,5.0,gausset,2t3,7.687529770104882e-172,1.5510470775258898e-16,1.8460449618424894e-15,0.39400503648931673
52,HX_HY_HZ,8,rdn,0.0,0.7,2.3,expset,2t4,3.7251356712304944e-134,0.0,0.307231299188227,0.0
52,HX_HY_HZ,8,oie,1.1,0.1,3.7,gausset,1t4,1.0,9.778396762930144e-164,1.876364728596493e-28,1.057475454869273e-119
52,HX_HY_HZ,8,rdn,7.8,1.0,2.3,gausset,1t4,0.9988893769761088,1.0437078608755366e-23,1.0118358395034046e-08,1.1112402226675827e-06
52,HX_HY_HZ,8,oie,4.4,0.7,2.3,gausset,2t4,1.0,3.6499543389994354e-186,1.3221017859648347e-47,3.7402609203861474e-168
52,HX_HY_HZ,8,rdn,8.9,0.7,2.3,expset,2t4,4.913992321176021e-143,0.0,0.327677581586693,0.0
52,HX_HY_HZ,8,rdn,4.4,0.6,5.0,gausset,1t2,0.9999674895727823,1.066256079471123e-26,3.251095569318908e-08,3.476253003773505e-10
52,HX_HY_HZ,8,rdn,10.0,0.6,1.0,gausset,1t3,0.9999702562678425,7.551627463507564e-27,2.9744174511062273e-08,3.2995523844927557e-10
52,HX_HY_HZ,8,rdn,3.3,0.7,2.3,gausset,2t4,0.10128209363738587,5.622669189256403e-11,0.0022898456490247922,2.8584082845933218e-05
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,gausset,2t3,4.195942416124696e-17,0.01342256454129748,0.03770982861397541,0.015381380591187164
52,HX_HY_HZ,8,rdn,10.0,0.7,1.0,gausset,1t4,0.14625468380501822,1.0108156354286698e-10,0.0019224057673657745,5.17214422072371e-05
52,HX_HY_HZ,8,oie,1.1,1.0,3.7,expset,2t3,1.0,2.3382303059948362e-40,3.3068646192142505e-308,0.0
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,gausset,1t4,1.0,6.564000687111842e-293,2.0353885130576644e-70,8.369252055256866e-199
52,HX_HY_HZ,8,oie,4.4,1.0,5.0,gausset,2t4,1.0,2.90582233554088e-206,4.1034401229159083e-60,3.630048965787738e-188
52,HX_HY_HZ,8,oie,6.7,0.1,3.7,expset,2t4,1.0,1.4226867923424492e-36,9.151142904101942e-249,0.0
52,HX_HY_HZ,8,oie,8.9,0.6,1.0,gausset,1t3,1.0,1.8846466218985386e-205,2.554192489548156e-64,2.6940622334981206e-185
52,HX_HY_HZ,8,rdn,5.6,0.1,2.3,expset,1t3,0.0,2.6603079803609786e-222,0.9790083697765986,3.023191456274169e-225
52,HX_HY_HZ,8,rdn,5.6,0.8,5.0,expset,3t4,6.339747845348789e-52,0.0,0.11788758584005918,0.0
52,HX_HY_HZ,8,oie,10.0,0.9,5.0,expset,1t2,1.0,7.2913297284308525e-146,2.6127955317205773e-116,2.108610785644e-311
52,HX_HY_HZ,8,rdn,5.6,1.0,3.7,expset,1t2,0.0,1.9390377899095522e-212,0.9061645879255629,5.613428744041504e-222
52,HX_HY_HZ,8,rdn,4.4,0.9,3.7,expset,1t2,0.0,8.918030169851302e-207,0.7665213808922591,1.6704756128828158e-214
52,HX_HY_HZ,8,oie,2.2,0.2,5.0,gausset,2t4,1.0,5.043523798841094e-186,4.7296005955003987e-48,1.1659080002526649e-126
52,HX_HY_HZ,8,rdn,8.9,0.5,5.0,expset,3t4,7.125876279322392e-18,0.0,0.03948279896872877,0.0
52,HX_HY_HZ,8,rdn,4.4,0.1,2.3,expset,1t4,6.64050615520582e-273,2.9634602362592354e-219,0.6267125421985977,1.606499626885103e-223
52,HX_HY_HZ,8,oie,8.9,0.5,3.7,gausset,1t3,3.876673257163654e-15,0.01351858344373009,0.03318379901700745,0.016703793899856562
52,HX_HY_HZ,8,oie,6.7,0.7,3.7,gausset,2t4,1.0,1.8327535028896822e-184,4.738324800933316e-47,3.003079993220683e-168
52,HX_HY_HZ,8,oie,5.6,0.8,2.3,expset,2t4,1.0,1.1163421394693106e-40,9.918504272565355e-300,0.0
52,HX_HY_HZ,8,oie,2.2,0.8,3.7,gausset,3t4,0.9999999999976978,2.863626461759595e-234,2.3021804404290025e-15,3.0196295173758035e-202
52,HX_HY_HZ,8,oie,6.7,0.4,3.7,expset,1t3,1.0,1.8115518513475964e-144,4.9542933160773165e-117,1.795125961004394e-305
52,HX_HY_HZ,8,oie,3.3,0.4,3.7,gausset,1t4,1.0,2.2508334642295642e-201,9.104483721367079e-66,3.306268537661246e-162
52,HX_HY_HZ,8,rdn,3.3,0.6,5.0,gausset,1t4,0.9999697963995839,1.1082809027644884e-26,3.0204056553996163e-08,4.3098666760918724e-10
52,HX_HY_HZ,8,oie,10.0,0.6,5.0,gausset,1t3,0.0,0.0,0.0,0.0
52,HX_HY_HZ,8,rdn,3.3,0.7,3.7,expset,1t2,0.0,8.863192721440613e-199,0.8012294407361376,5.452262997142082e-208
52,HX_HY_HZ,8,oie,7.8,1.0,2.3,expset,1t3,1.0,1.5703423574694726e-160,1.8662539803548214e-129,0.0
52,HX_HY_HZ,8,oie,0.0,0.4,5.0,expset,1t2,1.0,2.642091109932669e-91,1.9166987810619308e-113,3.2911416216281947e-229
52,HX_HY_HZ,8,oie,3.3,0.7,3.7,expset,1t2,1.0,4.976693364096904e-141,5.03847487338317e-114,5.0915441862241084e-300
52,HX_HY_HZ,8,rdn,1.1,0.8,3.7,expset,1t4,6.085785844565707e-299,1.0476869501518927e-131,0.6866669869425721,5.198378133429094e-139
52,HX_HY_HZ,8,rdn,8.9,0.1,1.0,gausset,1t4,4.14974916162915e-213,0.4890275769182968,0.0009624299356125506,4.657375247184801e-05
52,HX_HY_HZ,8,oie,2.2,0.5,2.3,expset,1t2,1.0,2.0172569127709897e-142,6.572511561010165e-126,1.8527547968215123e-301
52,HX_HY_HZ,8,rdn,8.9,0.4,3.7,gausset,2t4,1.0455978877217988e-88,0.04885717678804882,0.07411884209444033,0.20258289932030915
52,HX_HY_HZ,8,rdn,5.6,0.9,1.0,gausset,1t4,2.4715323274131348e-05,0.01060808713121275,0.004160617890975987,3.394087263082623e-09
52,HX_HY_HZ,8,rdn,0.0,0.7,3.7,expset,1t4,2.5370140354831996e-127,5.6515303678162614e-179,0.29149731899732695,4.275621905264133e-207
52,HX_HY_HZ,8,oie,8.9,0.4,5.0,gausset,1t3,0.0,0.0,0.0,0.0
52,HX_HY_HZ,8,rdn,0.0,0.2,2.3,expset,2t4,5.587338711130497e-106,0.0,0.24235351676386271,0.0
52,HX_HY_HZ,8,oie,6.7,0.5,3.7,expset,2t4,1.0,8.277768286934749e-40,1.89429977673209e-296,0.0
52,HX_HY_HZ,8,oie,6.7,1.0,5.0,gausset,2t4,2.505215110696812e-16,0.013155326740430299,0.03592298688452108,0.015134580981267642
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,expset,1t2,1.0,1.0231894792035314e-93,2.9240833091120476e-116,1.740247197056126e-229
52,HX_HY_HZ,8,rdn,6.7,0.6,2.3,gausset,2t4,0.9999574621880211,1.421356484751439e-26,4.253871673731423e-08,2.783428554704665e-10
52,HX_HY_HZ,8,rdn,2.2,0.5,3.7,expset,1t4,0.0,7.272098791890853e-185,0.7462230420038983,8.542156974225715e-193
52,HX_HY_HZ,8,oie,4.4,0.3,1.0,gausset,3t4,0.9999999999975465,5.974414322474236e-221,2.453525142872701e-15,1.4860974453064611e-201
52,HX_HY_HZ,8,oie,3.3,1.0,2.3,expset,2t3,1.0,1.1032508785818526e-39,4.840088821370005e-304,0.0
52,HX_HY_HZ,8,rdn,2.2,0.4,1.0,expset,3t4,0.2876140803149732,1.02e-321,0.0012461356963539083,0.0
52,HX_HY_HZ,8,rdn,0.0,0.4,5.0,expset,1t2,2.7454029737895827e-170,3.666585330722312e-20,0.390429537941963,4.062724340232477e-18
52,HX_HY_HZ,8,rdn,8.9,0.5,1.0,expset,1t4,1.11886e-319,4.44891088728396e-289,0.7344123169038144,3.991578462978829e-293
52,HX_HY_HZ,8,oie,4.4,1.0,3.7,expset,2t3,1.0,2.3110703130236024e-41,8.367471958898127e-302,0.0
52,HX_HY_HZ,8,rdn,4.4,0.6,1.0,expset,1t3,0.0,3.7689705101884314e-267,0.8190057921736587,1.9430760491199925e-272
52,HX_HY_HZ,8,oie,5.6,0.4,3.7,gausset,2t4,1.0,1.5563796474765847e-200,8.013751055833524e-61,3.2894696698270573e-167
52,HX_HY_HZ,8,oie,5.6,0.2,1.0,gausset,2t3,1.0,1.6960280767895923e-184,9.520186638298097e-47,1.5331183911729693e-130
52,HX_HY_HZ,8,rdn,2.2,0.9,1.0,gausset,2t3,6.657911397927373e-09,0.018827460005492912,0.006330710302922892,3.436235932017475e-08
52,HX_HY_HZ,8,rdn,8.9,0.4,2.3,gausset,2t3,0.0027025822454585812,2.8386240997654667e-35,1.2099354956657735e-17,0.00591354757581183
52,HX_HY_HZ,8,oie,0.0,0.2,2.3,expset,2t4,1.0,1.581645937604083e-37,2.7960481445897403e-300,0.0
52,HX_HY_HZ,8,rdn,7.8,0.9,2.3,gausset,1t2,0.0001554420910410352,0.008769237300585707,0.003966119509688848,1.901526398265799e-09
52,HX_HY_HZ,8,rdn,0.0,0.8,3.7,gausset,3t4,0.0,7.429847024304244e-51,0.9615184209196013,5.6070417837776176e-52
52,HX_HY_HZ,8,oie,3.3,0.5,2.3,expset,1t3,1.0,2.7021578854915463e-151,2.889046817406395e-125,5.9004944111463e-311
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,gausset,1t4,5.938893690908467e-128,8.678262538124059e-13,0.2929493690345313,5.442916087133762e-11
52,HX_HY_HZ,8,oie,0.0,0.5,2.3,expset,1t2,3.382407926479014e-91,0.20831665560231896,4.7215943941867685e-111,2.5698802880212204e-113
52,HX_HY_HZ,8,rdn,2.2,0.9,5.0,expset,2t3,1.8266819452926127e-117,0.0,0.2687999547038352,0.0
52,HX_HY_HZ,8,oie,10.0,0.8,5.0,gausset,2t3,0.0,0.0,0.0,0.0
52,HX_HY_HZ,8,oie,10.0,0.2,2.3,gausset,2t4,1.0040943238387742e-18,0.015626468679487384,0.041442445708989535,0.021691205393934054
52,HX_HY_HZ,8,rdn,1.1,0.4,3.7,gausset,1t2,0.16286153688698637,7.583430829685798e-39,2.000991025625197e-18,0.0018148549061278827
52,HX_HY_HZ,8,oie,1.1,0.4,1.0,gausset,1t4,1.0,6.600682031785225e-236,3.6741229596841225e-70,6.279540434681275e-177
52,HX_HY_HZ,8,oie,1.1,0.5,5.0,expset,1t4,1.0,9.480252742621949e-126,1.063038720427563e-118,1.5040278116646002e-274
52,HX_HY_HZ,8,rdn,5.6,0.7,3.7,expset,1t2,0.0,2.0715767172082947e-211,0.8441774830821308,3.8381089582378835e-222
52,HX_HY_HZ,8,oie,10.0,0.4,2.3,gausset,2t4,5.183006436773644e-16,0.013454054450369918,0.035195976206796785,0.016963546038915648
52,HX_HY_HZ,8,oie,5.6,0.1,1.0,gausset,2t3,1.0,2.4747409877781677e-158,5.931423191840156e-26,2.510752069882264e-125
52,HX_HY_HZ,8,oie,1.1,0.8,5.0,expset,1t2,1.0,1.4291947077625946e-128,1.954532495367e-115,3.855571382256472e-278
52,HX_HY_HZ,8,rdn,8.9,0.8,5.0,gausset,2t4,0.0,0.0,0.0,0.0
52,HX_HY_HZ,8,oie,5.6,0.2,5.0,expset,2t3,1.0,1.567447747578592e-38,7.550324466043542e-275,0.0
52,HX_HY_HZ,8,oie,8.9,0.4,2.3,gausset,2t3,1.0,1.621540704011679e-202,5.376815304288971e-62,2.0519514223646297e-165
52,HX_HY_HZ,8,rdn,6.7,0.1,2.3,expset,3t4,0.0,3.0293904581949196e-286,0.859121023943314,1.0851860987462452e-280
52,HX_HY_HZ,8,oie,5.6,0.2,2.3,expset,2t4,1.0,4.884770177276622e-37,1.0749345850822171e-275,0.0
52,HX_HY_HZ,8,oie,5.6,0.1,3.7,gausset,1t3,1.0,4.914271051117442e-154,8.789687936717588e-27,4.457061044052491e-122
