Sample,Measure,bias,bw,density,ngrams,ABpvalue,BCpvalue,CApvalue,pReward
310,HX_HY_HZ,10.0,1.0,expset,1t4,5.1678475216720616e-12,2.660676282026015e-14,6.475860285747761e-29,0.9994833487580732
310,HX_HY_HZ,10.0,1.0,expset,1t3,5.168333695759268e-12,2.6603218641462264e-14,6.47577293143915e-29,0.999483300165784
310,HX_HY_HZ,10.0,1.0,expset,1t2,5.329878874986997e-12,2.529657064358381e-14,6.429507508416086e-29,0.9994671541253141
310,HX_HY_HZ,10.0,2.0,expset,1t4,1.733830619823751e-11,6.169168770038182e-13,8.658157035000604e-27,0.998267671596164
310,HX_HY_HZ,10.0,2.0,expset,1t3,1.733830629362601e-11,6.169168747158751e-13,8.658156976799534e-27,0.9982676715866416
310,HX_HY_HZ,10.0,2.0,expset,1t2,1.734239045322204e-11,6.166876126481104e-13,8.657040004624817e-27,0.9982672638782758
310,HX_HY_HZ,10.0,5.0,expset,1t4,1.9460625762956428e-11,2.0398597307478907e-12,7.083076746280647e-25,0.9980558297757356
310,HX_HY_HZ,10.0,5.0,expset,1t3,1.9460625762956428e-11,2.0398597307478907e-12,7.083076746280647e-25,0.9980558297757356
310,HX_HY_HZ,10.0,4.0,expset,1t4,2.253865704240117e-11,2.144596115924533e-12,5.1975982389787e-25,0.9977486723439016
310,HX_HY_HZ,10.0,4.0,expset,1t3,2.2538657042401088e-11,2.1445961159245667e-12,5.197598238978411e-25,0.9977486723439016
260,IXYZ_IYZX_IXZY,0.0,1.0,expset,2t3,7.028810175448539e-20,8.984195614041894e-12,3.9826870663389685e-19,0.999101983896616
260,IXYZ_IYZX_IXZY,0.0,1.0,expset,2t4,6.784755658741845e-20,9.19825570040289e-12,4.032705520901267e-19,0.9990805973398216
310,IXYZ_IYZX_IXZY,0.0,1.0,expset,2t3,2.7394595033320758e-24,3.065254185527352e-11,2.1777604075445637e-20,0.9969394389096824
310,IXYZ_IYZX_IXZY,0.0,1.0,expset,2t4,2.6278116276226934e-24,3.131272619133247e-11,2.208012212794409e-20,0.996873624702025
310,IXYZ_IYZX_IXZY,10.0,5.0,expset,2t3,5.261805225255952e-10,1.7547483823612649e-12,2.240918996735127e-29,0.9487423132773652
310,IXYZ_IYZX_IXZY,10.0,5.0,expset,2t4,5.261805225401024e-10,1.7547483823121828e-12,2.24091899669434e-29,0.9487423132759888
