agent,bias,bw,density,hitmiss,ngrams,reward,sample,wsize
oie,2.0,1.0,expset,1.0,1t2,2.68278210276,160,8
oie,2.0,1.0,expset,1.0,1t3,2.68099259153,160,8
oie,2.0,1.0,expset,1.0,1t4,2.68095962595,160,8
oie,2.0,2.0,expset,1.0,1t2,1.93101564901,160,8
oie,2.0,2.0,expset,1.0,1t4,1.93098925685,160,8
oie,2.0,2.0,expset,1.0,1t3,1.93098924912,160,8
oie,2.0,3.0,expset,1.0,1t4,1.61389774176,160,8
oie,2.0,3.0,expset,1.0,1t3,1.6138977415,160,8
oie,2.0,3.0,expset,1.0,1t2,1.6138827417100001,160,8
oie,0.0,2.0,expset,1.0,1t2,1.60206166285,160,8
oie,0.0,2.0,expset,1.0,1t3,1.60202976773,160,8
oie,0.0,2.0,expset,1.0,1t4,1.60202975065,160,8
oie,2.0,4.0,expset,1.0,1t4,1.4937220283300001,160,8
oie,2.0,4.0,expset,1.0,1t3,1.4937220283200001,160,8
oie,2.0,4.0,expset,1.0,1t2,1.4937071663400001,160,8
oie,2.0,5.0,expset,1.0,1t3,1.44863911193,160,8
oie,2.0,5.0,expset,1.0,1t4,1.44863911193,160,8
oie,2.0,5.0,expset,1.0,1t2,1.44862166977,160,8
oie,0.0,3.0,expset,1.0,1t4,1.4352790946599998,160,8
oie,0.0,3.0,expset,1.0,1t3,1.43527909445,160,8
oie,0.0,3.0,expset,1.0,1t2,1.43526507512,160,8
oie,0.0,4.0,expset,1.0,1t4,1.36836100368,160,8
oie,0.0,4.0,expset,1.0,1t3,1.36836100368,160,8
oie,0.0,4.0,expset,1.0,1t2,1.36834799795,160,8
oie,0.0,5.0,expset,1.0,1t4,1.3511657856900001,160,8
oie,0.0,5.0,expset,1.0,1t3,1.3511657856900001,160,8
oie,0.0,5.0,expset,1.0,1t2,1.35115051261,160,8
oie,0.0,1.0,expset,1.0,1t2,1.2326099622,160,8
oie,0.0,1.0,expset,1.0,1t3,1.2323912077099999,160,8
oie,0.0,1.0,expset,1.0,1t4,1.2322953298000001,160,8
oie,0.0,3.0,gausset,1.0,1t4,1.1738089957200002,160,8
oie,0.0,4.0,gausset,1.0,1t3,1.113611917,160,8
oie,2.0,2.0,gausset,1.0,1t4,1.01558199047,160,8
oie,0.0,5.0,gausset,1.0,2t4,0.840515184724,160,8
oie,5.0,5.0,expset,1.0,1t4,0.7865658554680001,160,8
oie,5.0,5.0,expset,1.0,1t3,0.7865658554680001,160,8
oie,5.0,5.0,expset,1.0,1t2,0.786559592219,160,8
oie,2.0,3.0,gausset,1.0,1t3,0.567053710729,160,8
oie,0.0,2.0,gausset,1.0,1t4,0.559870785817,160,8
oie,5.0,4.0,expset,1.0,1t4,0.506196189186,160,8
oie,5.0,4.0,expset,1.0,1t3,0.506196189185,160,8
oie,5.0,4.0,expset,1.0,1t2,0.506189667656,160,8
oie,0.0,3.0,gausset,1.0,1t3,0.433868056311,160,8
oie,0.0,5.0,gausset,1.0,1t3,0.41640837516999996,160,8
oie,0.0,5.0,gausset,1.0,1t4,0.403092825175,160,8
oie,0.0,5.0,gausset,1.0,1t2,0.392083507117,160,8
oie,0.0,4.0,gausset,1.0,1t4,0.38436213200400005,160,8
oie,0.0,4.0,gausset,1.0,2t4,0.334646106268,160,8
oie,2.0,5.0,gausset,1.0,2t4,0.27546036918,160,8
oie,2.0,4.0,gausset,1.0,2t4,0.258952294975,160,8
oie,2.0,3.0,gausset,1.0,2t4,0.252871546438,160,8
oie,2.0,4.0,gausset,1.0,1t2,0.191924936046,160,8
oie,5.0,3.0,expset,1.0,1t4,0.167013849065,160,8
oie,5.0,3.0,expset,1.0,1t3,0.167013848987,160,8
oie,5.0,3.0,expset,1.0,1t2,0.167000358198,160,8
