agent,bias,bw,density,file,hitmiss,measure,ngrams,reward,sample,wsize
rdn,2.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-2.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.8111199127680001,160,8
rdn,2.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-2.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.8088589518029999,160,8
rdn,2.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-2.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.808832892919,160,8
rdn,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.631036486931,160,8
rdn,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.628908115317,160,8
rdn,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.6288827260350001,160,8
rdn,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.36415003150499997,160,8
rdn,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.364112535138,160,8
rdn,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.364112522689,160,8
rdn,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.30789344507599997,160,8
rdn,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.307866902703,160,8
rdn,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.307866893158,160,8
rdn,5.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-5.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.305560134724,160,8
rdn,5.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-5.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.305560121228,160,8
rdn,5.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-5.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.305560121228,160,8
rdn,5.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-160/rdn_bias-5.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.28238486607200003,160,8
