agent,bias,bw,density,hitmiss,ngrams,reward,sample,wsize
oie,0.0,2.3,expset,0.7,2t4,1.21172354774,52,8
oie,0.0,2.3,expset,0.6,2t3,1.19942409551,52,8
oie,0.0,2.3,expset,0.2,2t4,0.834684748232,52,8
oie,0.0,2.3,expset,0.2,1t2,0.7190082034849999,52,8
oie,0.0,2.3,expset,0.3,1t2,0.715165361291,52,8
oie,1.1,2.3,expset,0.4,1t4,0.708127959643,52,8
oie,0.0,2.3,expset,1.0,1t3,0.706806810556,52,8
oie,1.1,2.3,expset,0.9,1t3,0.7044534260430001,52,8
oie,0.0,2.3,expset,0.5,1t2,0.690621256175,52,8
oie,0.0,2.3,expset,0.1,1t3,0.6861805378,52,8
oie,3.3,3.7,expset,0.6,1t3,0.6837177026710001,52,8
oie,3.3,3.7,expset,0.7,1t2,0.679998969235,52,8
oie,3.3,3.7,expset,0.5,1t4,0.6714076570649999,52,8
oie,3.3,3.7,expset,0.4,1t4,0.6708482051720001,52,8
oie,2.2,3.7,expset,0.9,1t4,0.665567860633,52,8
oie,2.2,2.3,expset,0.5,1t2,0.6583005849710001,52,8
oie,2.2,3.7,expset,1.0,1t4,0.657811752174,52,8
oie,2.2,3.7,expset,1.0,1t3,0.657090228018,52,8
oie,2.2,3.7,expset,0.3,1t4,0.656465056131,52,8
oie,2.2,3.7,expset,0.5,1t4,0.654252424987,52,8
oie,2.2,2.3,expset,0.5,1t3,0.653128602802,52,8
oie,1.1,3.7,expset,0.8,1t4,0.652385202092,52,8
oie,0.0,3.7,expset,0.7,1t4,0.642393268812,52,8
oie,1.1,3.7,expset,0.3,1t4,0.633951405058,52,8
oie,3.3,5.0,expset,0.6,1t2,0.626662231695,52,8
oie,2.2,5.0,expset,1.0,1t2,0.622342586232,52,8
oie,1.1,5.0,expset,0.8,1t2,0.6126528506360001,52,8
oie,2.2,5.0,expset,0.6,1t4,0.606463934213,52,8
oie,0.0,5.0,expset,0.7,1t2,0.602027909839,52,8
oie,2.2,5.0,expset,0.6,1t3,0.60028446184,52,8
oie,2.2,5.0,expset,0.3,1t3,0.599026015582,52,8
oie,1.1,5.0,expset,0.6,1t2,0.5957775419879999,52,8
oie,0.0,5.0,expset,0.6,1t2,0.595338930899,52,8
oie,0.0,5.0,expset,0.4,1t2,0.582777325377,52,8
oie,1.1,5.0,expset,0.5,1t4,0.57550067564,52,8
oie,1.1,5.0,expset,0.5,1t2,0.574825158379,52,8
oie,0.0,5.0,expset,0.5,1t2,0.571526933076,52,8
oie,0.0,3.7,expset,0.1,1t3,0.567336870413,52,8
oie,3.3,1.0,expset,0.2,1t3,0.54057561624,52,8
oie,3.3,1.0,expset,0.5,1t4,0.5381224765820001,52,8
oie,3.3,1.0,expset,0.2,1t4,0.537679575201,52,8
oie,3.3,1.0,expset,0.9,1t2,0.536106131277,52,8
oie,4.4,3.7,expset,0.9,1t2,0.407640923886,52,8
oie,0.0,1.0,expset,0.1,1t4,0.39227468575499996,52,8
oie,4.4,3.7,expset,0.7,1t4,0.382349446218,52,8
oie,3.3,2.3,expset,0.4,1t4,0.364607269557,52,8
oie,0.0,1.0,expset,0.2,1t3,0.36385264755900004,52,8
oie,3.3,2.3,expset,0.5,1t3,0.35120151448299997,52,8
oie,0.0,1.0,expset,0.4,1t4,0.335260965234,52,8
oie,3.3,2.3,expset,0.8,1t2,0.325738328375,52,8
oie,0.0,1.0,expset,0.5,1t3,0.320204623604,52,8
oie,4.4,2.3,expset,0.9,1t3,0.291972161911,52,8
oie,4.4,2.3,expset,0.5,1t2,0.274807778953,52,8
oie,5.6,3.7,expset,0.8,1t2,0.24961469034000003,52,8
oie,4.4,2.3,expset,0.2,1t4,0.249197532807,52,8
oie,5.6,5.0,expset,0.7,1t4,0.247681497386,52,8
oie,5.6,3.7,expset,1.0,1t2,0.247242673062,52,8
oie,5.6,3.7,expset,0.7,1t2,0.240757714358,52,8
oie,4.4,3.7,expset,0.4,1t4,0.23240666355,52,8
oie,6.7,5.0,expset,0.7,1t3,0.22654907511,52,8
oie,6.7,5.0,expset,0.7,1t4,0.226499775326,52,8
oie,6.7,5.0,expset,0.6,1t3,0.223695354681,52,8
