agent,bias,bw,density,hitmiss,ngrams,reward,sample,wsize
rdn,1.1,2.3,expset,0.9,2t3,1.3596523037700001,52,8
rdn,1.1,2.3,expset,0.6,2t3,1.23085535517,52,8
rdn,2.2,1.0,expset,0.7,1t3,0.8214330487450001,52,8
rdn,0.0,5.0,expset,0.3,2t3,0.627598549674,52,8
rdn,1.1,1.0,expset,0.2,1t2,0.587309845319,52,8
rdn,0.0,3.7,expset,0.1,2t4,0.544021948875,52,8
rdn,0.0,1.0,expset,0.2,1t3,0.447792993995,52,8
rdn,0.0,1.0,expset,0.1,1t4,0.44711268206,52,8
rdn,0.0,1.0,expset,0.4,1t4,0.42107142012800003,52,8
rdn,0.0,1.0,expset,0.5,1t3,0.411088288831,52,8
rdn,3.3,2.3,expset,0.8,1t2,0.259605801638,52,8
rdn,3.3,1.0,expset,0.9,1t2,0.249480938542,52,8
rdn,2.2,2.3,expset,0.5,1t2,0.24161430594500002,52,8
rdn,2.2,2.3,expset,0.5,1t3,0.23956959363000002,52,8
rdn,3.3,3.7,expset,0.4,1t4,0.212052054911,52,8
rdn,3.3,3.7,expset,0.5,1t4,0.204211256571,52,8
rdn,3.3,3.7,expset,0.7,1t2,0.19665963685199997,52,8
rdn,3.3,3.7,expset,0.6,1t3,0.19619872832899998,52,8
rdn,10.0,1.0,expset,0.3,1t3,0.194455386555,52,8
rdn,10.0,1.0,expset,1.0,1t3,0.192475428226,52,8
rdn,1.1,2.3,expset,0.4,1t4,0.190982101375,52,8
rdn,8.9,1.0,expset,0.2,1t3,0.189529283259,52,8
rdn,8.9,1.0,expset,0.5,1t4,0.189243616897,52,8
rdn,8.9,1.0,expset,0.3,1t4,0.188626654941,52,8
rdn,3.3,1.0,expset,0.5,1t4,0.187479197364,52,8
rdn,8.9,1.0,expset,0.7,1t2,0.186325537256,52,8
rdn,7.8,1.0,expset,0.9,1t4,0.186276562537,52,8
rdn,1.1,3.7,expset,1.0,2t3,0.18604923418900002,52,8
rdn,7.8,1.0,expset,0.2,1t2,0.18438410782499998,52,8
rdn,1.1,2.3,expset,0.9,1t3,0.184034595121,52,8
rdn,7.8,1.0,expset,0.5,1t4,0.182471393752,52,8
rdn,7.8,1.0,expset,0.3,1t4,0.182227405905,52,8
rdn,0.0,2.3,expset,0.2,1t2,0.18086681932999998,52,8
rdn,7.8,1.0,expset,0.7,1t4,0.17998372618900002,52,8
rdn,6.7,1.0,expset,0.4,1t4,0.17210250510400002,52,8
rdn,6.7,1.0,expset,0.3,1t2,0.17072840749,52,8
rdn,0.0,5.0,expset,0.1,2t4,0.169395823552,52,8
rdn,0.0,2.3,expset,0.5,1t2,0.16874157999699999,52,8
rdn,0.0,2.3,expset,0.3,1t2,0.16854384879700002,52,8
rdn,0.0,2.3,expset,1.0,1t3,0.166872737025,52,8
rdn,0.0,2.3,expset,0.1,1t3,0.16419627311899998,52,8
rdn,2.2,3.7,expset,0.9,1t4,0.155330931699,52,8
rdn,2.2,3.7,expset,0.5,1t4,0.15498048168099998,52,8
rdn,2.2,3.7,expset,1.0,1t4,0.152696787225,52,8
rdn,2.2,3.7,expset,1.0,1t3,0.152071636592,52,8
rdn,2.2,3.7,expset,0.3,1t4,0.151897052337,52,8
rdn,5.6,1.0,expset,0.3,1t4,0.151410823751,52,8
rdn,5.6,1.0,expset,0.1,1t2,0.150227084999,52,8
rdn,3.3,5.0,expset,0.6,1t2,0.148089876997,52,8
rdn,1.1,3.7,expset,0.3,1t4,0.145001326785,52,8
rdn,1.1,3.7,expset,0.8,1t4,0.14353225284,52,8
rdn,2.2,5.0,expset,0.6,1t3,0.13976102296700002,52,8
rdn,2.2,5.0,expset,0.6,1t4,0.139568598077,52,8
rdn,0.0,5.0,expset,0.4,1t2,0.13931416510800002,52,8
rdn,1.1,5.0,expset,0.6,1t2,0.137175917796,52,8
rdn,2.2,5.0,expset,1.0,1t2,0.137005624012,52,8
rdn,2.2,5.0,expset,0.3,1t3,0.136696746114,52,8
rdn,0.0,3.7,expset,0.7,1t4,0.136541464733,52,8
rdn,1.1,5.0,expset,0.5,1t2,0.136358535772,52,8
rdn,0.0,5.0,expset,0.6,1t2,0.13572888649599998,52,8
rdn,1.1,5.0,expset,0.5,1t4,0.13378202763900002,52,8
rdn,0.0,5.0,expset,0.5,1t2,0.13302869132099998,52,8
rdn,0.0,5.0,expset,0.7,1t2,0.13200597589000002,52,8
rdn,1.1,5.0,expset,0.8,1t2,0.130376291124,52,8
rdn,0.0,3.7,expset,0.1,1t3,0.12902121651100001,52,8
rdn,3.3,2.3,expset,0.5,1t3,0.121598509266,52,8
rdn,10.0,2.3,expset,0.9,1t3,0.121165261959,52,8
rdn,10.0,2.3,expset,0.9,1t2,0.12107961505899999,52,8
rdn,10.0,2.3,expset,0.6,1t3,0.120180919582,52,8
rdn,10.0,2.3,expset,0.7,1t2,0.118826063732,52,8
rdn,8.9,2.3,expset,0.4,1t4,0.11760793366599999,52,8
rdn,8.9,2.3,expset,0.8,1t2,0.115841945791,52,8
rdn,8.9,2.3,expset,1.0,1t2,0.11503787513599999,52,8
rdn,1.1,3.7,expset,0.6,2t4,0.113580543971,52,8
rdn,10.0,3.7,expset,0.4,1t4,0.113387584274,52,8
rdn,7.8,2.3,expset,0.8,1t4,0.11303209862,52,8
rdn,10.0,3.7,expset,0.5,1t4,0.111714100049,52,8
rdn,7.8,2.3,expset,1.0,1t3,0.111593077679,52,8
rdn,8.9,3.7,expset,0.5,1t3,0.11132894969799999,52,8
rdn,10.0,5.0,expset,0.9,1t2,0.11067552362,52,8
rdn,8.9,2.3,expset,0.1,1t3,0.110291607868,52,8
rdn,8.9,5.0,expset,0.6,1t2,0.10997049077400001,52,8
rdn,7.8,3.7,expset,0.9,1t3,0.10896874461400001,52,8
rdn,7.8,3.7,expset,0.9,1t4,0.108886791656,52,8
rdn,8.9,5.0,expset,0.5,1t3,0.108064962905,52,8
rdn,7.8,5.0,expset,0.4,1t2,0.107765730701,52,8
rdn,1.1,3.7,expset,0.6,2t3,0.107435843582,52,8
rdn,6.7,2.3,expset,0.1,1t3,0.107172185335,52,8
rdn,6.7,2.3,expset,1.0,1t2,0.10661568340199999,52,8
rdn,10.0,5.0,expset,0.7,1t2,0.106316879277,52,8
rdn,7.8,3.7,expset,0.1,1t3,0.10609361818,52,8
rdn,6.7,3.7,expset,0.6,1t4,0.105842063015,52,8
rdn,7.8,5.0,expset,0.9,1t3,0.10530084090299999,52,8
rdn,8.9,3.7,expset,0.7,1t3,0.10492023487299999,52,8
rdn,7.8,5.0,expset,0.1,1t2,0.104848065339,52,8
rdn,7.8,5.0,expset,0.3,1t4,0.10412916685000001,52,8
rdn,6.7,3.7,expset,0.1,1t3,0.103733327136,52,8
rdn,6.7,3.7,expset,0.4,1t3,0.103519526481,52,8
rdn,5.6,2.3,expset,0.4,1t3,0.10209594853000001,52,8
rdn,5.6,2.3,expset,0.1,1t3,0.10160097880300001,52,8
rdn,5.6,2.3,expset,0.5,1t4,0.101250134931,52,8
rdn,5.6,2.3,expset,0.9,1t3,0.101134019728,52,8
rdn,7.8,5.0,expset,0.7,1t2,0.10074301454,52,8
rdn,6.7,3.7,expset,0.8,1t3,0.10038683835899999,52,8
rdn,5.6,2.3,expset,0.5,1t2,0.100085796341,52,8
rdn,5.6,2.3,expset,0.1,1t4,0.0972188864602,52,8
rdn,6.7,5.0,expset,0.6,1t3,0.0969432413151,52,8
rdn,5.6,2.3,expset,0.8,1t2,0.0967922569255,52,8
rdn,6.7,5.0,expset,0.5,1t2,0.09661099712570001,52,8
rdn,4.4,2.3,expset,0.2,1t4,0.093882985115,52,8
rdn,4.4,2.3,expset,0.1,1t4,0.09326388581310001,52,8
rdn,4.4,1.0,expset,0.6,1t3,0.09299175568839999,52,8
rdn,5.6,5.0,expset,0.1,1t2,0.0913101979188,52,8
rdn,4.4,1.0,expset,0.9,1t4,0.09116083288629999,52,8
rdn,6.7,5.0,expset,0.7,1t3,0.0907299978582,52,8
rdn,6.7,5.0,expset,0.7,1t4,0.09069706381760001,52,8
rdn,4.4,2.3,expset,0.1,1t3,0.0895360662646,52,8
rdn,4.4,1.0,expset,0.8,1t4,0.0894617230837,52,8
rdn,5.6,5.0,expset,0.2,1t4,0.08783058346389999,52,8
rdn,5.6,3.7,expset,0.8,1t2,0.0860578656901,52,8
rdn,5.6,3.7,expset,1.0,1t2,0.0854727179841,52,8
rdn,4.4,1.0,expset,1.0,1t2,0.08542178811750001,52,8
rdn,5.6,3.7,expset,0.7,1t2,0.08488357874569999,52,8
rdn,3.3,2.3,expset,0.4,1t4,0.08434615725330001,52,8
rdn,4.4,2.3,expset,0.5,1t2,0.07602429498369999,52,8
rdn,4.4,3.7,expset,0.2,1t2,0.07550487161510001,52,8
rdn,5.6,5.0,expset,0.4,1t3,0.07519886710469999,52,8
rdn,4.4,2.3,expset,0.9,1t3,0.07068613422619999,52,8
rdn,3.3,1.0,expset,0.2,1t4,0.06915533115019999,52,8
rdn,3.3,1.0,expset,0.2,1t3,0.065553266037,52,8
rdn,4.4,3.7,expset,0.3,1t4,0.0632077017951,52,8
rdn,5.6,5.0,expset,0.5,1t4,0.0571398374481,52,8
rdn,5.6,5.0,expset,0.7,1t4,0.0433622588582,52,8
rdn,4.4,3.7,expset,0.4,1t4,0.042701450706199996,52,8
rdn,2.2,1.0,expset,0.5,2t3,0.039668480525300004,52,8
rdn,2.2,1.0,expset,0.4,2t3,0.036976780229,52,8
rdn,1.1,5.0,expset,0.3,2t3,0.0299522847896,52,8
rdn,0.0,2.3,expset,0.2,2t4,0.023449502970099997,52,8
rdn,2.2,1.0,expset,0.1,2t4,0.0176666540447,52,8
rdn,2.2,2.3,expset,1.0,2t3,0.0139886344716,52,8
rdn,0.0,2.3,expset,0.6,2t3,0.011818455741700002,52,8
rdn,3.3,2.3,expset,0.1,2t3,0.0117297217221,52,8
rdn,2.2,2.3,expset,0.3,2t3,0.0116376296246,52,8
rdn,4.4,3.7,expset,0.9,1t2,0.011604945068600001,52,8
rdn,2.2,5.0,expset,0.9,2t4,0.0109833990522,52,8
rdn,2.2,5.0,expset,0.9,2t3,0.0108793844958,52,8
rdn,2.2,5.0,expset,0.4,2t4,0.0105668445342,52,8
rdn,2.2,3.7,expset,0.1,2t4,0.010427962246399998,52,8
rdn,2.2,5.0,expset,0.2,2t4,0.0099092336718,52,8
rdn,0.0,2.3,expset,0.7,2t4,0.009004415914329999,52,8
rdn,0.0,2.3,expset,0.7,3t4,0.00715839930672,52,8
