agent,bias,bw,density,file,hitmiss,measure,ngrams,reward,sample,wsize
oie,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.7489669351430001,60,8
oie,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.747756821975,60,8
oie,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.747535971763,60,8
oie,0.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.726959899807,60,8
oie,0.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.725990879509,60,8
oie,0.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.723512710479,60,8
oie,2.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.7218020524400001,60,8
oie,2.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.721333813776,60,8
oie,2.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.719280891895,60,8
oie,2.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.699614706028,60,8
oie,2.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.6970067274330001,60,8
oie,2.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.6965920969930001,60,8
oie,0.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.6905899079600001,60,8
oie,0.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.685441106349,60,8
oie,0.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.685257440641,60,8
oie,2.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.6750704505990001,60,8
oie,2.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.674692249395,60,8
oie,2.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.674330457787,60,8
oie,0.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.6644724203419999,60,8
oie,0.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.66444776236,60,8
oie,0.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.661596828451,60,8
oie,5.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.626326917474,60,8
oie,5.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.626326917474,60,8
oie,5.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.626326909757,60,8
oie,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.5914569794219999,60,8
oie,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.5899255416820001,60,8
oie,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.589768931809,60,8
oie,5.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.292632326442,60,8
oie,5.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.292630318499,60,8
oie,5.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.29113959660100003,60,8
oie,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.26296552230799997,60,8
oie,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.26168867133699997,60,8
oie,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.259431788721,60,8
oie,5.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.213137267058,60,8
oie,5.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.21296926597,60,8
oie,5.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.208435154515,60,8
oie,8.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-8.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.164165220685,60,8
oie,8.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-8.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.16416522055500002,60,8
oie,8.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-8.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.159480917798,60,8
oie,5.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.150243132909,60,8
oie,5.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.148684319913,60,8
oie,5.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-5.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.14616097495,60,8
oie,8.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-8.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.142147674308,60,8
oie,8.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-8.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.142147674308,60,8
oie,8.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-8.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t2.csv,1.0,HXY_HXZ_HYZ,1t2,0.13830175260299998,60,8
oie,10.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-10.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.12804568731,60,8
oie,10.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-10.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t3.csv,1.0,HXY_HXZ_HYZ,1t3,0.127968960008,60,8
oie,10.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-10.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t4.csv,1.0,HXY_HXZ_HYZ,1t4,0.116523936964,60,8
