agent,bias,bw,density,hitmiss,ngrams,reward,sample,wsize
oie,0.0,3.0,expset,1.0,1t4,1.2375385490494633,60,8
oie,0.0,3.0,expset,1.0,1t3,1.226312148853685,60,8
oie,0.0,3.0,expset,1.0,1t2,1.2249980291391225,60,8
oie,10.0,3.0,gausset,1.0,3t4,0.11525993711725015,60,8
oie,8.0,5.0,gausset,1.0,3t4,0.11486158202383355,60,8
oie,10.0,2.0,gausset,1.0,3t4,0.11468115739102512,60,8
oie,8.0,4.0,gausset,1.0,3t4,0.1132353886368152,60,8
oie,8.0,3.0,gausset,1.0,3t4,0.11295341183413725,60,8
oie,5.0,5.0,gausset,1.0,3t4,0.11181511919171516,60,8
oie,8.0,2.0,gausset,1.0,3t4,0.11085514167687792,60,8
oie,5.0,4.0,gausset,1.0,3t4,0.10996271537885637,60,8
oie,10.0,1.0,gausset,1.0,3t4,0.10734161539243722,60,8
oie,5.0,3.0,gausset,1.0,3t4,0.10695916076350566,60,8
oie,0.0,4.0,expset,1.0,1t2,0.1053810821627405,60,8
oie,0.0,4.0,expset,1.0,1t4,0.1044367334364288,60,8
oie,8.0,1.0,gausset,1.0,3t4,0.1043994140317572,60,8
oie,0.0,4.0,expset,1.0,1t3,0.10409032408152527,60,8
oie,8.0,4.0,gausset,1.0,1t4,0.10202567266072923,60,8
oie,5.0,2.0,gausset,1.0,3t4,0.10078460172311884,60,8
oie,8.0,3.0,gausset,1.0,1t2,0.10018409900936816,60,8
oie,8.0,5.0,gausset,1.0,1t3,0.09920275578648197,60,8
oie,10.0,3.0,gausset,1.0,1t3,0.0989540084371402,60,8
oie,8.0,5.0,gausset,1.0,1t4,0.09885675840705213,60,8
oie,8.0,5.0,gausset,1.0,1t2,0.09885675840705213,60,8
oie,10.0,3.0,gausset,1.0,1t4,0.0986742471953936,60,8
oie,10.0,3.0,gausset,1.0,1t2,0.0986742471953936,60,8
oie,8.0,4.0,gausset,1.0,1t3,0.09816643036438576,60,8
oie,8.0,4.0,gausset,1.0,1t2,0.0972191100081838,60,8
oie,10.0,2.0,gausset,1.0,1t2,0.09721554476523164,60,8
oie,10.0,2.0,gausset,1.0,1t3,0.09721554476523164,60,8
oie,10.0,2.0,gausset,1.0,1t4,0.09721554476523164,60,8
oie,8.0,3.0,gausset,1.0,1t3,0.09703007436971564,60,8
oie,8.0,3.0,gausset,1.0,1t4,0.09703007436971564,60,8
oie,8.0,2.0,gausset,1.0,1t3,0.09500335100759293,60,8
oie,8.0,2.0,gausset,1.0,1t4,0.0948107917386575,60,8
oie,8.0,2.0,gausset,1.0,1t2,0.0948107917386575,60,8
oie,5.0,5.0,gausset,1.0,1t4,0.0946283902064222,60,8
oie,5.0,5.0,gausset,1.0,1t3,0.0946283902064222,60,8
oie,5.0,5.0,gausset,1.0,1t2,0.0946283902064222,60,8
oie,8.0,4.0,gausset,1.0,2t4,0.09400157255065844,60,8
oie,10.0,1.0,gausset,1.0,1t2,0.09397838268876142,60,8
oie,8.0,5.0,gausset,1.0,2t4,0.09389364703747802,60,8
oie,8.0,5.0,gausset,1.0,2t3,0.09389364703747802,60,8
oie,10.0,3.0,gausset,1.0,2t3,0.09372211135414688,60,8
oie,10.0,3.0,gausset,1.0,2t4,0.09372211135414688,60,8
oie,8.0,4.0,gausset,1.0,2t3,0.09310085473844268,60,8
oie,10.0,1.0,gausset,1.0,1t4,0.09301962909273467,60,8
oie,10.0,1.0,gausset,1.0,1t3,0.09301962909273467,60,8
oie,5.0,3.0,gausset,1.0,1t3,0.09299450501266006,60,8
oie,5.0,4.0,gausset,1.0,1t3,0.09296266264889204,60,8
oie,5.0,4.0,gausset,1.0,1t2,0.09296266264889204,60,8
oie,5.0,4.0,gausset,1.0,1t4,0.09296266264889204,60,8
oie,8.0,1.0,gausset,1.0,1t3,0.0924916499750064,60,8
oie,5.0,5.0,gausset,1.0,2t3,0.09247534155654964,60,8
oie,10.0,2.0,gausset,1.0,2t3,0.0923509973279276,60,8
oie,10.0,2.0,gausset,1.0,2t4,0.0923509973279276,60,8
oie,8.0,3.0,gausset,1.0,2t4,0.09217664660175046,60,8
oie,8.0,3.0,gausset,1.0,2t3,0.09201906542953958,60,8
oie,5.0,3.0,gausset,1.0,1t2,0.09067618681458256,60,8
oie,5.0,3.0,gausset,1.0,1t4,0.09027253622738968,60,8
oie,8.0,2.0,gausset,1.0,2t4,0.0900901171053712,60,8
oie,8.0,2.0,gausset,1.0,2t3,0.09004065356727155,60,8
oie,5.0,4.0,gausset,1.0,2t4,0.09001841633108636,60,8
oie,5.0,5.0,gausset,1.0,2t4,0.08983608951771581,60,8
oie,8.0,1.0,gausset,1.0,1t2,0.08874849074760513,60,8
oie,8.0,1.0,gausset,1.0,1t4,0.08857281341208749,60,8
oie,10.0,1.0,gausset,1.0,2t3,0.08840568590887166,60,8
oie,10.0,1.0,gausset,1.0,2t4,0.08840568590887166,60,8
oie,5.0,4.0,gausset,1.0,2t3,0.08835210798270253,60,8
oie,5.0,2.0,gausset,1.0,1t2,0.08828559163058182,60,8
oie,5.0,3.0,gausset,1.0,2t3,0.08737179190782858,60,8
oie,8.0,1.0,gausset,1.0,2t4,0.08718865606177514,60,8
oie,5.0,3.0,gausset,1.0,2t4,0.08657425245294705,60,8
oie,5.0,1.0,gausset,1.0,3t4,0.0864511049429787,60,8
oie,5.0,2.0,gausset,1.0,1t3,0.08520550333077144,60,8
oie,5.0,2.0,gausset,1.0,1t4,0.08520550333077144,60,8
oie,8.0,1.0,gausset,1.0,2t3,0.0842221948876333,60,8
oie,5.0,2.0,gausset,1.0,2t3,0.08374102650511564,60,8
oie,5.0,2.0,gausset,1.0,2t4,0.08105267832301484,60,8
oie,2.0,5.0,gausset,1.0,3t4,0.07873877852795855,60,8
oie,5.0,1.0,gausset,1.0,1t3,0.07711103547300839,60,8
oie,5.0,1.0,gausset,1.0,1t2,0.07226104945252132,60,8
oie,5.0,1.0,gausset,1.0,1t4,0.07226104206984073,60,8
oie,2.0,4.0,gausset,1.0,3t4,0.07068725134529256,60,8
oie,5.0,1.0,gausset,1.0,2t4,0.06885195556039471,60,8
oie,5.0,1.0,gausset,1.0,2t3,0.06885195556029924,60,8
oie,2.0,5.0,gausset,1.0,1t3,0.06735937744645193,60,8
oie,2.0,5.0,gausset,1.0,1t2,0.06564988194592238,60,8
oie,2.0,5.0,gausset,1.0,1t4,0.06564988194591594,60,8
oie,2.0,5.0,gausset,1.0,2t4,0.06261472184413999,60,8
oie,2.0,5.0,gausset,1.0,2t3,0.06261472184413999,60,8
oie,2.0,4.0,gausset,1.0,1t4,0.062295178677755275,60,8
oie,2.0,3.0,gausset,1.0,3t4,0.06070517660631801,60,8
oie,2.0,4.0,gausset,1.0,1t2,0.0593238795063636,60,8
oie,2.0,4.0,gausset,1.0,1t3,0.059323879505510976,60,8
oie,2.0,4.0,gausset,1.0,2t4,0.0591928003638477,60,8
oie,2.0,4.0,gausset,1.0,2t3,0.0566373565157865,60,8
oie,2.0,3.0,gausset,1.0,1t2,0.05167119858651517,60,8
oie,2.0,3.0,gausset,1.0,1t3,0.05053133557495378,60,8
oie,2.0,3.0,gausset,1.0,1t4,0.05053133557495378,60,8
oie,2.0,3.0,gausset,1.0,2t4,0.04900792842547192,60,8
oie,2.0,3.0,gausset,1.0,2t3,0.048316909479830465,60,8
oie,2.0,2.0,gausset,1.0,3t4,0.04519108545250474,60,8
oie,2.0,2.0,gausset,1.0,1t4,0.039466279140306655,60,8
oie,2.0,2.0,gausset,1.0,1t2,0.0378456227006313,60,8
oie,2.0,2.0,gausset,1.0,1t3,0.03784561261240292,60,8
oie,2.0,2.0,gausset,1.0,2t3,0.03751440687058562,60,8
oie,2.0,2.0,gausset,1.0,2t4,0.03642060587299442,60,8
oie,2.0,1.0,gausset,1.0,3t4,0.02257244893156679,60,8
oie,2.0,1.0,gausset,1.0,1t2,0.020539412889129492,60,8
oie,2.0,1.0,gausset,1.0,1t4,0.019827969622300604,60,8
oie,2.0,1.0,gausset,1.0,1t3,0.019761983274345703,60,8
oie,2.0,1.0,gausset,1.0,2t4,0.019008182800191682,60,8
oie,2.0,1.0,gausset,1.0,2t3,0.018880347887913016,60,8
oie,0.0,5.0,expset,1.0,1t2,0.008614835967583659,60,8
oie,0.0,5.0,expset,1.0,1t3,0.008451765153606915,60,8
oie,0.0,5.0,expset,1.0,1t4,0.00844194633447903,60,8
oie,0.0,1.0,expset,1.0,3t4,0.005594175458429664,60,8
oie,0.0,1.0,gausset,1.0,1t2,0.00048078808839616534,60,8
oie,0.0,1.0,gausset,1.0,2t3,0.0004748719455546799,60,8
oie,0.0,1.0,gausset,1.0,1t3,0.0004740367453037666,60,8
oie,0.0,1.0,gausset,1.0,1t4,0.00047377962703522693,60,8
oie,0.0,1.0,gausset,1.0,2t4,0.00046400407399019365,60,8
oie,0.0,1.0,gausset,1.0,3t4,0.00018678695504610048,60,8
oie,0.0,2.0,gausset,1.0,1t2,0.00015246746007930776,60,8
oie,0.0,2.0,gausset,1.0,1t3,0.00013920963912179442,60,8
oie,0.0,2.0,gausset,1.0,1t4,0.00013920745115869254,60,8
oie,0.0,2.0,gausset,1.0,2t4,0.00011974543536791941,60,8
oie,0.0,2.0,gausset,1.0,2t3,0.00011973911787778376,60,8
oie,0.0,3.0,gausset,1.0,1t3,6.0606613387548974e-05,60,8
oie,0.0,3.0,gausset,1.0,2t3,5.4596702067308115e-05,60,8
oie,0.0,3.0,gausset,1.0,1t4,5.211917328790088e-05,60,8
oie,0.0,3.0,gausset,1.0,1t2,5.20761056275248e-05,60,8
oie,0.0,3.0,gausset,1.0,2t4,4.5335236532678445e-05,60,8
oie,0.0,3.0,gausset,1.0,3t4,2.2582902151560675e-05,60,8
oie,0.0,4.0,gausset,1.0,1t3,2.1719182788493468e-05,60,8
oie,0.0,4.0,gausset,1.0,1t4,2.171918257901852e-05,60,8
oie,0.0,4.0,gausset,1.0,1t2,2.1576289908109117e-05,60,8
oie,0.0,4.0,gausset,1.0,2t3,2.0097216116173816e-05,60,8
oie,0.0,4.0,gausset,1.0,2t4,1.947717975836775e-05,60,8
oie,0.0,2.0,gausset,1.0,3t4,1.626660568712517e-05,60,8
oie,0.0,5.0,gausset,1.0,2t4,1.0889834938800436e-05,60,8
oie,0.0,5.0,gausset,1.0,2t3,1.0749943656923503e-05,60,8
oie,0.0,5.0,gausset,1.0,1t2,9.669198897894264e-06,60,8
oie,0.0,5.0,gausset,1.0,1t3,9.612360785662056e-06,60,8
oie,0.0,5.0,gausset,1.0,1t4,9.612360783509464e-06,60,8
oie,0.0,4.0,gausset,1.0,3t4,3.363293483096159e-06,60,8
oie,2.0,3.0,expset,1.0,1t3,9.472017954154147e-07,60,8
oie,2.0,3.0,expset,1.0,1t2,9.279730151628599e-07,60,8
oie,2.0,4.0,expset,1.0,1t3,8.894159133768562e-07,60,8
oie,2.0,3.0,expset,1.0,1t4,8.495338252737744e-07,60,8
oie,2.0,4.0,expset,1.0,1t2,8.369642373393081e-07,60,8
oie,2.0,4.0,expset,1.0,1t4,7.566826588186656e-07,60,8
oie,2.0,5.0,expset,1.0,1t4,7.111020269084596e-07,60,8
oie,2.0,5.0,expset,1.0,1t3,7.096638016703666e-07,60,8
oie,2.0,5.0,expset,1.0,1t2,6.964652315971215e-07,60,8
oie,2.0,2.0,expset,1.0,1t4,4.744416387962085e-07,60,8
oie,2.0,2.0,expset,1.0,1t2,4.743644352116148e-07,60,8
oie,2.0,2.0,expset,1.0,1t3,4.3954930250092173e-07,60,8
oie,0.0,5.0,gausset,1.0,3t4,4.3024506118647135e-07,60,8
oie,5.0,5.0,expset,1.0,1t4,3.5452896403572884e-08,60,8
oie,5.0,5.0,expset,1.0,1t3,3.5452896403572884e-08,60,8
oie,5.0,5.0,expset,1.0,1t2,3.545289640149397e-08,60,8
oie,5.0,4.0,expset,1.0,1t3,2.824050155670132e-08,60,8
oie,5.0,4.0,expset,1.0,1t2,2.8081877670126222e-08,60,8
oie,2.0,1.0,expset,1.0,1t2,2.419127449894072e-08,60,8
oie,2.0,1.0,expset,1.0,1t3,2.414928830388172e-08,60,8
oie,5.0,4.0,expset,1.0,1t4,2.3905987193916128e-08,60,8
oie,2.0,1.0,expset,1.0,1t4,2.3429252789103903e-08,60,8
oie,8.0,5.0,expset,1.0,1t4,1.2439869769534624e-08,60,8
oie,8.0,5.0,expset,1.0,1t2,1.24398697685551e-08,60,8
oie,5.0,3.0,expset,1.0,1t4,1.213563775156032e-08,60,8
