agent,bias,bw,density,file,hitmiss,measure,ngrams,reward,sample,wsize
oie,2.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,1.7816145133099996,60,8
oie,2.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,1.78112052897,60,8
oie,2.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,1.7793569286099997,60,8
oie,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,1.23079820677,60,8
oie,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,1.22963284396,60,8
oie,2.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,1.22596793455,60,8
oie,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,1.21715656505,60,8
oie,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,1.21054491949,60,8
oie,0.0,1.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-1.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,1.21017881411,60,8
oie,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,1.1153748294299999,60,8
oie,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,1.11127036891,60,8
oie,0.0,2.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-2.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,1.10940329377,60,8
oie,2.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,1.0001885092799998,60,8
oie,2.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,0.999595430692,60,8
oie,2.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,0.996152972121,60,8
oie,0.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,0.952959756574,60,8
oie,0.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,0.943389653921,60,8
oie,0.0,3.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-3.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,0.9397553735809999,60,8
oie,2.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,0.918180737905,60,8
oie,2.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,0.9178085292829999,60,8
oie,2.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,0.917332614117,60,8
oie,2.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,0.890952280135,60,8
oie,2.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,0.8892147993709999,60,8
oie,0.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,0.887766162253,60,8
oie,2.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-2.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,0.885998809746,60,8
oie,0.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,0.880003308849,60,8
oie,0.0,4.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-4.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,0.879967208651,60,8
oie,0.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t4.csv,1.0,IXYZ_IYXZ_IZXY,1t4,0.8610713629250001,60,8
oie,0.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,0.860333421973,60,8
oie,0.0,5.0,expset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-5.0_density-expset_ngrams-1t2.csv,1.0,IXYZ_IYXZ_IZXY,1t2,0.8584174951510001,60,8
oie,0.0,4.0,gausset,/almac/ignacio/results_srl_env/wsize-8/sample-60/oie_bias-0.0_hitmiss-1.0_bw-4.0_density-gausset_ngrams-1t3.csv,1.0,IXYZ_IYXZ_IZXY,1t3,0.685774172082,60,8
