Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,CApvalue,pReward
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,expset,2t3,2.7659960859581203e-71,9.741921327543606e-10,1.6422086122213307e-05,1.0109557582353337e-07,0.0
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t3,2.2576983836871193e-32,7.541807828946433e-07,3.1600414223384756e-12,1.5946076124568246e-15,1.763375340202056e-33
52,HX_HY_HZ,8,oie,10.0,0.2,1.0,expset,2t3,1.8463266462553406e-64,1.997153893547641e-09,3.7539115914219497e-07,4.424548876322257e-09,4.977016756606071e-17
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,expset,3t4,0.04710063859773685,0.29654983761798426,7.174032815057353e-05,0.0010524082470173587,0.0
52,HX_HY_HZ,8,oie,6.7,0.6,1.0,gausset,1t4,0.1501379891815301,330074936329.74347,1.3421778124901594e+17,2.6270507994701484e+16,0.0
52,HX_HY_HZ,8,rdn,0.0,0.6,5.0,gausset,1t4,1.7902071423420787e-10,0.5416353714328197,0.49146826296729196,0.3619960830090245,0.0
52,HX_HY_HZ,8,oie,4.4,0.3,2.3,gausset,1t4,0.18342927728144537,523118707018032.5,5.890821479226216e+17,1.0038926442471968e+17,0.0
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,3t4,1.1340901256341978e-120,8.423375933405293e-06,0.037832288083060016,0.002511968797568956,0.0
52,HX_HY_HZ,8,oie,3.3,0.8,2.3,expset,1t2,3.6298276237691505e-07,0.00012773921741174142,0.0001018265875437196,6.159496444874567e-08,0.0
52,HX_HY_HZ,8,rdn,1.1,0.7,1.0,expset,3t4,2.4894958183375846e-151,0.043554424658689084,8.725358094320617e-07,0.00012811163994251115,0.0
52,HX_HY_HZ,8,rdn,10.0,0.4,3.7,gausset,3t4,0.002899882154235441,3.1195183325029528e+156,3.576640436039766e+156,2.3125080238576693e+156,0.0
52,HX_HY_HZ,8,oie,2.2,0.6,5.0,expset,1t4,5.795014211120637e-06,0.00022852206905246822,0.00022864569483482754,2.3502658787762297e-07,0.0
52,HX_HY_HZ,8,oie,10.0,0.4,3.7,expset,2t4,2.920115348576325e-43,1.93348123671945e-10,7.671810370951446e-08,4.657451965185155e-10,0.00046577383654506635
52,HX_HY_HZ,8,oie,8.9,0.1,2.3,expset,1t3,1.43915970596284e-07,2.3161970841412725e-07,1.549585742495946e-07,4.4455455839152623e-10,8.727379749185466e-11
52,HX_HY_HZ,8,rdn,3.3,0.4,2.3,gausset,2t4,0.00018773117813384368,12338501945.088478,7381303223.745033,6766261722.877509,0.0
52,HX_HY_HZ,8,oie,4.4,0.9,3.7,expset,2t4,6.8297567851725e-44,1.1710885290249952e-08,3.730156657282389e-05,1.029632543762611e-07,0.0
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,2t4,0.10305196077999332,9.797301556738416e+119,1.4156726262290039e+128,2.647773049471091e+127,0.0
52,HX_HY_HZ,8,oie,8.9,0.8,3.7,expset,2t3,1.8392314902940067e-48,5.4383407941332086e-11,2.564301024985278e-07,8.11296428695503e-10,7.300996648855063e-12
52,HX_HY_HZ,8,rdn,2.2,1.0,3.7,expset,1t4,0.010413882908161573,0.0016734935853492641,0.00025755700606827414,0.0,0.0
52,HX_HY_HZ,8,oie,7.8,0.2,5.0,gausset,2t3,0.25201534792734476,5.512610467752975e+126,1.299584621960921e+128,3.2036792347776533e+127,0.0
52,HX_HY_HZ,8,oie,4.4,0.6,5.0,gausset,3t4,0.1544084740822862,2.687916643035247e+22,1.479214714514267e+40,1.4968871648345077e+39,0.0
52,HX_HY_HZ,8,oie,4.4,0.2,1.0,expset,3t4,3.542671852457448e-219,0.0001396694823041923,0.00032669469449244694,6.694905206540293e-05,0.0
